,Navn,Long,Lat
34378,"23/6/19, Svalbard",78.165068,16.155553
44947,"25/2/25, Svalbard",78.334938,16.517294
45425,"22/682, Svalbard",78.169022,15.956603
54661,"22/527/9, Svalbard",78.251679,15.419914
1612700,"Vei 238 45B, Svalbard",78.21989,15.669761
1613090,"Vei 236 51B, Svalbard",78.219453,15.669122
1613193,"Vei 100 13, Svalbard",78.199937,15.587164
1613800,"Vei 236 55B, Svalbard",78.219343,15.670037
1614065,"Vei 309 6, Svalbard",78.222714,15.625634
1614726,"Vei 6062 1C, Svalbard",78.225288,15.640958
1615185,"Vei 6062 1B, Svalbard",78.225298,15.640695
1615346,"Vei 6062 1E, Svalbard",78.225332,15.641355
1615786,"Vei 610 2, Svalbard",78.226012,15.625675
1616979,"Vei 6062 2A, Svalbard",78.225028,15.640856
1618335,"Vei 606 2, Svalbard",78.224592,15.641087
1618496,"Vei 610 10, Svalbard",78.225735,15.629436
1620181,"Vei 610 8, Svalbard",78.225873,15.627819
1620857,"Vei 610 14, Svalbard",78.225218,15.631955
1621345,"Vei 610 12, Svalbard",78.225223,15.629979
1621630,"Vei 6061 2C, Svalbard",78.225211,15.639198
1622452,"Vei 6062 2F, Svalbard",78.225097,15.642133
1622656,"Vei 608 5, Svalbard",78.224881,15.638829
1622798,"Vei 6064 13, Svalbard",78.225681,15.64155
1622879,"Vei 6064 11B, Svalbard",78.225673,15.641286
1622961,"Vei 6064 17, Svalbard",78.225715,15.64221
1623084,"Vei 6064 15, Svalbard",78.225707,15.641858
1623105,"Vei 6063 18B, Svalbard",78.22543,15.636545
1623565,"Vei 224 1, Svalbard",78.21463,15.630518
1623970,"Vei 220 2, Svalbard",78.213202,15.623733
1624449,"Vei 218 3, Svalbard",78.213025,15.622452
1624635,"Vei 224 8, Svalbard",78.214168,15.632774
1624900,"Vei 232 16, Svalbard",78.21838,15.656382
1625262,"Vei 232 18, Svalbard",78.218299,15.660414
1625425,"Vei 232 201, Svalbard",78.218707,15.658462
1625466,"Vei 224 4, Svalbard",78.214247,15.629226
1626038,"Vei 224 2, Svalbard",78.214291,15.629667
1626743,"Vei 224 6, Svalbard",78.214216,15.631154
1626824,"Vei 100 1, Svalbard",78.203024,15.593494
1626884,"Vei 100 2, Svalbard",78.203572,15.592688
1627274,"Vei 100 5, Svalbard",78.201892,15.590371
1627519,"Vei 100 3, Svalbard",78.202329,15.591619
1628843,"Vei 302 3, Svalbard",78.217855,15.618623
1629518,"Vei 302 1, Svalbard",78.217411,15.616494
1629620,"Vei 100 6, Svalbard",78.202307,15.589427
1629683,"Vei 300 4, Svalbard",78.202902,15.57859
1629908,"Vei 101 1B, Svalbard",78.204111,15.596659
1630113,"Vei 101 3, Svalbard",78.203649,15.594708
1630767,"Vei 300 2A, Svalbard",78.201801,15.573761
1630809,"Vei 300 2B, Svalbard",78.202227,15.575446
1631089,"Vei 100 7, Svalbard",78.201286,15.58872
1632114,"Vei 100 8, Svalbard",78.201692,15.587425
1632432,"Vei 100 9, Svalbard",78.200779,15.587337
1632578,"Vei 309 12, Svalbard",78.222813,15.621206
1632599,"Vei 305 2, Svalbard",78.223037,15.617355
1633266,"Vei 236 53B, Svalbard",78.219398,15.669558
1633269,"Vei 236 51A, Svalbard",78.219489,15.668861
1633271,"Vei 236 53A, Svalbard",78.219425,15.66934
1633273,"Vei 238 43A, Svalbard",78.219999,15.669109
1633275,"Vei 238 41B, Svalbard",78.220027,15.668891
1633277,"Vei 238 45A, Svalbard",78.219927,15.669544
1633279,"Vei 238 43B, Svalbard",78.219963,15.669326
1633281,"Vei 608 2, Svalbard",78.224619,15.635698
1633283,"Vei 604 3, Svalbard",78.224161,15.639932
1633285,"Vei 610 6, Svalbard",78.226623,15.624741
1633287,"Vei 608 4, Svalbard",78.224786,15.6372
1633289,"Vei 236 55A, Svalbard",78.219371,15.66982
1633299,"Vei 238 39A, Svalbard",78.220127,15.668238
1633301,"Vei 601 2B, Svalbard",78.223654,15.638237
1633303,"Vei 238 41A, Svalbard",78.220063,15.668674
1633305,"Vei 238 39B, Svalbard",78.220091,15.668456
1633307,"Vei 227 2, Svalbard",78.218841,15.642806
1633309,"Vei 401 22, Svalbard",78.223428,15.655035
1633310,"Vei 300 6, Svalbard",78.207646,15.589822
1633313,"Vei 6062 1D, Svalbard",78.225314,15.641135
1633315,"Vei 6063 1B, Svalbard",78.225292,15.639334
1633317,"Vei 6063 1C, Svalbard",78.225283,15.639114
1633319,"Vei 6062 1A, Svalbard",78.22528,15.640518
1633321,"Vei 6063 1A, Svalbard",78.2253,15.639554
1633322,"Vei 6064 2E, Svalbard",78.225404,15.641271
1633323,"Vei 6064 2D, Svalbard",78.225386,15.641051
1633324,"Vei 6062 3A, Svalbard",78.225392,15.642456
1633325,"Vei 6064 2F, Svalbard",78.225412,15.641491
1633326,"Vei 6063 18A, Svalbard",78.225431,15.636769
1633328,"Vei 6062 1F, Svalbard",78.22534,15.641575
1633330,"Vei 6064 2B, Svalbard",78.225369,15.640611
1633332,"Vei 6064 2A, Svalbard",78.225352,15.640391
1633334,"Vei 610 4, Svalbard",78.225971,15.623609
1633336,"Vei 6061 2A, Svalbard",78.225228,15.639638
1633338,"Vei 6061 2B, Svalbard",78.22522,15.639418
1633340,"Vei 6062 2C, Svalbard",78.225054,15.64134
1633342,"Vei 6062 2B, Svalbard",78.225046,15.641076
1633344,"Vei 6062 2E, Svalbard",78.225089,15.641869
1633345,"Vei 6062 2D, Svalbard",78.225071,15.641605
1633346,"Vei 6064 9A, Svalbard",78.225611,15.6408
1633347,"Vei 6064 7, Svalbard",78.225612,15.640492
1633348,"Vei 6064 11A, Svalbard",78.225664,15.64111
1633349,"Vei 6064 9B, Svalbard",78.225637,15.640977
1633350,"Vei 6064 1, Svalbard",78.225568,15.639788
