,Navn,Long,Lat
460207,"Seglvikveien 100, Kvænangen",70.209924,21.216079
460209,"Seglvikveien 27, Kvænangen",70.20437,21.222718
460210,"Seglvikveien 21, Kvænangen",70.203996,21.223615
460211,"Seglvikveien 45, Kvænangen",70.205429,21.221019
460212,"Seglvikveien 10, Kvænangen",70.20312,21.224971
460213,"Seglvikveien 33, Kvænangen",70.204781,21.22178
460214,"Seglvikveien 104, Kvænangen",70.210009,21.21443
460215,"Seglvikveien 106, Kvænangen",70.210024,21.213717
460216,"Seglvikveien 41, Kvænangen",70.205225,21.221701
460217,"Seglvikveien 140, Kvænangen",70.211779,21.211163
460874,"Seglvikveien 25, Kvænangen",70.204322,21.223581
460876,"Seglvikveien 37, Kvænangen",70.20488,21.221012
460877,"Seglvikveien 20, Kvænangen",70.203714,21.223184
460878,"Seglvikveien 146, Kvænangen",70.212864,21.212874
460879,"Seglvikveien 12, Kvænangen",70.203373,21.224436
461326,"Seglvikveien 108, Kvænangen",70.210055,21.212447
461349,"Seglvikveien 130, Kvænangen",70.212388,21.216213
1941565,"Seglvikveien 62, Kvænangen",70.206738,21.213685
2023907,"Seglvikveien 38, Kvænangen",70.204737,21.220477
2040311,"Seglvikveien 31, Kvænangen",70.204786,21.222369
2042372,"Seglvikveien 18, Kvænangen",70.203589,21.223463
