,Navn,Long,Lat
460359,"Valanveien 263, Kvænangen",69.955027,21.538817
460360,"Valanveien 271, Kvænangen",69.952916,21.542279
460361,"Valanveien 401, Kvænangen",69.966779,21.514854
460362,"Valanveien 261, Kvænangen",69.955379,21.538297
460363,"Valanveien 413, Kvænangen",69.967145,21.514706
460364,"Valanveien 427, Kvænangen",69.96789,21.513047
460365,"Valanveien 354, Kvænangen",69.962769,21.519986
460366,"Valanveien 371, Kvænangen",69.96391,21.522525
460367,"Valanveien 255, Kvænangen",69.954839,21.532689
460521,"Valanveien 605, Kvænangen",69.977235,21.519207
460523,"Valanveien 357, Kvænangen",69.963569,21.523469
460524,"Valanveien 595, Kvænangen",69.972606,21.520833
460905,"Valanveien 273, Kvænangen",69.953079,21.541778
461112,"Valanveien 4, Kvænangen",69.935924,21.561621
461113,"Valanveien 955, Kvænangen",69.999432,21.455387
461114,"Valanveien 449, Kvænangen",69.969831,21.511735
461115,"Valanveien 376, Kvænangen",69.964233,21.517659
461117,"Valanveien 44, Kvænangen",69.938221,21.561163
461248,"Valanveien 347, Kvænangen",69.962401,21.525379
2028976,"Valanveien 337, Kvænangen",69.96161,21.526186
