,Navn,Long,Lat
457405,"Årvikveien 155, Skjervøy",70.197554,20.523483
457406,"Skolebakken 17, Skjervøy",70.197498,20.527344
457407,"Bygdeveien 21, Skjervøy",70.194785,20.520193
457408,"Bygdeveien 25, Skjervøy",70.1944,20.519824
457409,"Ringveien 41, Skjervøy",70.195524,20.530954
457410,"Bygdeveien 70, Skjervøy",70.190797,20.519628
457411,"Skolebakken 29, Skjervøy",70.197391,20.529624
457412,"Skolebakken 25, Skjervøy",70.197599,20.529309
457413,"Ringveien 53, Skjervøy",70.196507,20.529413
457414,"Bygdeveien 88, Skjervøy",70.189508,20.522333
457415,"Bygdeveien 67, Skjervøy",70.190617,20.515546
457416,"Bygdeveien 81, Skjervøy",70.189742,20.520592
457417,"Ringveien 4, Skjervøy",70.193843,20.526203
457418,"Bygdeveien 77, Skjervøy",70.190434,20.519451
457419,"Skolebakken 2, Skjervøy",70.19855,20.524149
457420,"Skolebakken 4, Skjervøy",70.198041,20.524039
457421,"Krokelvveien 16, Skjervøy",70.194033,20.520336
457422,"Bygdeveien 63, Skjervøy",70.190951,20.517864
457423,"Fjærbakkveien 82, Skjervøy",70.191899,20.514563
457424,"Bygdeveien 59, Skjervøy",70.191427,20.517594
457425,"Bygdeveien 48, Skjervøy",70.192438,20.518661
457426,"Bygdeveien 65, Skjervøy",70.190739,20.516869
457427,"Bygdeveien 69, Skjervøy",70.190509,20.516154
457428,"Bygdeveien 89, Skjervøy",70.188962,20.521364
457429,"Ringveien 21, Skjervøy",70.193627,20.530312
457430,"Krokelvveien 11, Skjervøy",70.194337,20.522461
457431,"Krokelvveien 7, Skjervøy",70.194154,20.523129
457432,"Årvikveien 90, Skjervøy",70.19213,20.526301
457433,"Bygdeveien 58, Skjervøy",70.191635,20.518446
457436,"Bygdeveien 83, Skjervøy",70.189195,20.519649
457437,"Bygdeveien 43, Skjervøy",70.192989,20.518013
457438,"Årvikveien 89, Skjervøy",70.192252,20.527607
457439,"Bygdeveien 49, Skjervøy",70.192526,20.516694
