,Navn,Long,Lat
1470523,"Ringveien 49, Lenvik",69.228394,17.976119
1470524,"Meierigata 5, Lenvik",69.228308,17.978156
1470525,"Erling Nilssens vei 1, Lenvik",69.229164,17.984748
1470526,"Meierigata 8, Lenvik",69.228569,17.977053
1470527,"Meierigata 1, Lenvik",69.227835,17.978521
1470528,"Bernhard Lunds vei 12, Lenvik",69.228293,17.972792
1470529,"Meierigata 4, Lenvik",69.228232,17.977361
1470530,"Meierigata 2, Lenvik",69.228005,17.977426
1470531,"Bernhard Lunds vei 8, Lenvik",69.228436,17.973866
1470532,"Bernhard Lunds vei 6, Lenvik",69.228674,17.974109
1470533,"Bernhard Lunds vei 10, Lenvik",69.228188,17.973663
1470534,"Sjøgata 42, Lenvik",69.23104,18.000764
1470535,"Bernhard Lunds vei 3, Lenvik",69.229464,17.975658
1470536,"Bernhard Lunds vei 2, Lenvik",69.228741,17.977001
1470537,"Erling Nilssens vei 18, Lenvik",69.228259,17.979945
1470538,"Erling Nilssens vei 14A, Lenvik",69.228305,17.980649
1470539,"Erling Nilssens vei 20, Lenvik",69.228575,17.979836
1470540,"Erling Nilssens vei 19, Lenvik",69.228627,17.980476
1470541,"Bernhard Lunds vei 11, Lenvik",69.228511,17.970546
1478355,"Erling Nilssens vei 10, Lenvik",69.228384,17.98153
1478356,"Erling Nilssens vei 9, Lenvik",69.2288,17.982902
1478357,"Erling Nilssens vei 12, Lenvik",69.228213,17.981051
1478358,"Erling Nilssens vei 11, Lenvik",69.229009,17.982779
1478359,"Erling Nilssens vei 6B, Lenvik",69.228499,17.982659
1478360,"Erling Nilssens vei 6A, Lenvik",69.228531,17.982916
1478361,"Erling Nilssens vei 8, Lenvik",69.228426,17.982219
1478362,"Erling Nilssens vei 7, Lenvik",69.22917,17.983864
1478363,"Erling Nilssens vei 3, Lenvik",69.228879,17.984608
1478364,"Erling Nilssens vei 2, Lenvik",69.228487,17.984427
1478365,"Erling Nilssens vei 5, Lenvik",69.22894,17.983655
1478366,"Erling Nilssens vei 4, Lenvik",69.22859,17.983632
1478367,"Fredly 1, Lenvik",69.229783,17.993053
1478368,"Hans Karolius vei 16, Lenvik",69.228991,17.991073
1478369,"Fredly 3, Lenvik",69.229549,17.993046
1478370,"Fredly 2, Lenvik",69.22984,17.993896
1478371,"Hans Karolius vei 10, Lenvik",69.229347,17.990742
1478372,"Hans Karolius vei 6, Lenvik",69.229167,17.990262
1478373,"Hans Karolius vei 14, Lenvik",69.22915,17.991246
1478374,"Hans Karolius vei 12, Lenvik",69.229404,17.992116
1478375,"Hans Karolius vei 1, Lenvik",69.229407,17.987976
1478376,"Hans Karolius vei 4, Lenvik",69.22943,17.990096
1478377,"Hans Karolius vei 3, Lenvik",69.228838,17.989003
1478378,"Erling Nilssens vei 22, Lenvik",69.228621,17.979286
1478379,"Erling Nilssens vei 21, Lenvik",69.229001,17.980122
1478380,"Erling Nilssens vei 26, Lenvik",69.228219,17.97913
1478381,"Erling Nilssens vei 24, Lenvik",69.22844,17.979337
1478382,"Hersvik 18, Lenvik",69.229348,17.997164
1478383,"Hersvik 16, Lenvik",69.229368,17.997321
1478384,"Hersvik 20, Lenvik",69.229321,17.997042
