,Navn,Long,Lat
574,"Fagerlidal, 54/354, Målselv",69.100474,18.49684
577,"Kjervelvlia, 48/5/1, Øverbygd",69.00025,18.703193
584,"Fagerlidal, 54/350, Målselv",69.096635,18.500439
592,"Iselvdalen, 43/3/1, Øverbygd",68.93175,18.856717
594,"Istindlia, 49/33, Øverbygd",68.994288,18.68942
26277,"Iselvdalen, 43/22, Øverbygd",68.890102,18.890765
28727,"Kjervelvdalen, 46/7, Øverbygd",68.980424,18.812393
29002,"Storvatnet, 95/100, Øverbygd",68.946491,18.835987
29631,"Iselvdalen, 43/4/2, Øverbygd",68.899575,18.890425
30746,"48/6/1, Øverbygd",68.984083,18.711432
30747,"48/6/2, Øverbygd",68.983899,18.711737
31132,"48/20, Øverbygd",68.972254,18.68709
31133,"48/21, Øverbygd",68.971359,18.68643
31134,"48/23, Øverbygd",68.946853,18.666336
31135,"48/22, Øverbygd",68.946962,18.66673
34260,"54/928, Målselv",69.098218,18.530729
34369,"48/19, Øverbygd",68.961079,18.677806
34370,"43/17, Øverbygd",68.904721,18.8909
34384,"Rustafjellet, 52/6-1, Målselv",69.035167,18.454823
34388,"46/2-1, Øverbygd",68.980544,18.814687
34389,"46/2, Øverbygd",68.980874,18.812701
34442,"51/31-1, Målselv",69.059587,18.53787
34822,"48/6, Øverbygd",68.983379,18.714138
34916,"49/51, Øverbygd",68.998186,18.682588
35514,"41/1, Øverbygd",68.827835,19.049843
35516,"41/3, Øverbygd",68.827342,19.057362
35517,"40/1, Øverbygd",68.859353,19.198401
35518,"40/28, Øverbygd",68.859873,19.196405
35519,"40/4-4, Øverbygd",68.857089,19.191524
35520,"41/5, Øverbygd",68.861183,19.073638
35522,"41/2, Øverbygd",68.832134,19.091714
38108,"41/5-1, Øverbygd",68.828334,19.053943
40044,"51/31/2, Målselv",69.057817,18.498061
44117,"53/4, Målselv",69.040425,18.472992
44445,"51/31-2, Målselv",69.061793,18.52571
44446,"51/31-3, Målselv",69.061083,18.526728
47663,"Istindlia, 49/52, Øverbygd",68.999469,18.691992
47666,"Kjervelvlia, 48/7, Øverbygd",68.983089,18.735587
47667,"Kjervelvdalen, 47/28, Øverbygd",68.964486,18.692678
47668,"Kjervelvdalen, 47/27, Øverbygd",68.966031,18.695324
47684,"Rustalia, 53/9/3, Målselv",69.048159,18.464748
47686,"Rustalia, 53/9/2, Målselv",69.047845,18.465201
47740,"Finnsund, 52/6, Målselv",69.033274,18.463652
47741,"Finnsund, 52/5, Målselv",69.037562,18.45051
47750,"Iselvdalen, 43/21, Øverbygd",68.900064,18.891262
47751,"Kirkesdalen, 43/20, Øverbygd",68.899986,18.889231
47766,"Jensvollsætra, 41/14, Øverbygd",68.827504,19.052126
47767,"Jensvollsætra, 41/13, Øverbygd",68.827576,19.0549
47769,"Kirkesdalen, 41/6/1, Øverbygd",68.832904,19.094203
49666,"Målselvfossen, 50/21, Øverbygd",69.035576,18.648728
49723,"Andselv, 51/31, Målselv",69.055005,18.537544
50877,"Kjervelvdalen, 47/31, Øverbygd",68.958998,18.684384
50887,"Fagerlidal, 54/368, Målselv",69.09787,18.491826
50892,"Fagerlidal, 54/680, Målselv",69.095713,18.509246
50899,"Istindlia, 49/12/2, Øverbygd",69.000486,18.694768
50928,"Krokbekktjønna, 54/11/1, Målselv",69.100479,18.435709
50951,"Fagerlidal, 54/16-1, Målselv",69.096763,18.531571
50952,"Fagerlidal, 54/1-1, Målselv",69.097136,18.439862
50979,"Istindlia, 49/27, Øverbygd",68.997214,18.67952
50981,"Kjervelvlia, 48/8, Øverbygd",68.986216,18.710015
50982,"Kjervelvlia, 48/18, Øverbygd",68.950797,18.668996
50984,"Kirkesdalen, 43/13, Øverbygd",68.884365,18.884257
50985,"Kirkesdalen, 43/12, Øverbygd",68.883831,18.889545
50986,"Kirkesdalen, 43/11, Øverbygd",68.88247,18.881084
50987,"Kirkesdalen, 43/24, Øverbygd",68.88121,18.89023
