,Navn,Long,Lat
1445297,"Steinfjorden 40, Berg",69.461968,17.351368
1445298,"Steinfjorden 42, Berg",69.461728,17.350524
1445299,"Steinfjorden 74, Berg",69.458926,17.350652
1445300,"Steinfjorden 46, Berg",69.461438,17.351387
1445301,"Steinfjorden 72, Berg",69.459099,17.350517
1445360,"Steinfjorden 50, Berg",69.461029,17.351137
1445361,"Steinfjorden 70, Berg",69.459263,17.35097
1445362,"Steinfjorden 54, Berg",69.460705,17.351179
1445363,"Steinfjorden 48, Berg",69.461174,17.351
1445364,"Steinfjorden 125, Berg",69.455408,17.343419
1445365,"Steinfjorden 62, Berg",69.460068,17.351185
1445366,"Steinfjorden 129, Berg",69.455294,17.342513
1445367,"Ersfjorden 57, Berg",69.482617,17.408453
1445368,"Ersfjorden 73, Berg",69.481528,17.411273
1445369,"Ersfjorden 21, Berg",69.482908,17.40429
1445370,"Ersfjorden 31, Berg",69.483614,17.405163
1445371,"Ersfjorden 59, Berg",69.482319,17.409238
1445372,"Steinfjorden 52, Berg",69.460829,17.35132
1445373,"Ersfjorden 54, Berg",69.483024,17.408832
1445374,"Ersfjorden 53, Berg",69.482798,17.40768
1445375,"Ersfjorden 30, Berg",69.484932,17.405873
1445376,"Ersfjorden 50, Berg",69.483173,17.408464
1445377,"Ersfjorden 49, Berg",69.483025,17.407476
1445378,"Ersfjorden 23, Berg",69.483351,17.404673
1445379,"Ersfjorden 69, Berg",69.481652,17.410724
1445380,"Ersfjorden 44, Berg",69.483772,17.407304
1445381,"Ersfjorden 36, Berg",69.484863,17.406966
1445382,"Ersfjorden 28, Berg",69.485045,17.405477
1445542,"Ingrid Bjerkås-veien 9, Berg",69.445806,17.2997
1445543,"Bergsfjordveien 1635, Berg",69.441809,17.334354
1445544,"Bergsfjordveien 1641, Berg",69.441846,17.332902
1445545,"Prestegårdsveien 4, Berg",69.446779,17.293241
1445546,"Bergsfjordveien 1579, Berg",69.441461,17.348205
1445547,"Bergsfjordveien 1747, Berg",69.443579,17.306586
1445548,"Bergsfjordveien 1829, Berg",69.446848,17.288754
1445549,"Bergsfjordveien 1819, Berg",69.447308,17.290731
1445551,"Bergsfjordveien 1649, Berg",69.442064,17.330756
1445553,"Bergsfjordveien 1655, Berg",69.442141,17.329666
1445554,"Bergsfjordveien 1633, Berg",69.441803,17.334838
1445556,"Bergsfjordveien 1833, Berg",69.446628,17.287734
1445558,"Bergsfjordveien 1780, Berg",69.444243,17.29846
1445559,"Bergsfjordveien 1682, Berg",69.441865,17.322768
1445560,"Bergsfjordveien 1775, Berg",69.444436,17.299477
1445561,"Bergsfjordveien 1619, Berg",69.441798,17.337876
1445563,"Ingrid Bjerkås-veien 23, Berg",69.447608,17.297109
1445565,"Ingrid Bjerkås-veien 30, Berg",69.447875,17.295248
1445567,"Ingrid Bjerkås-veien 25, Berg",69.448027,17.296592
1445569,"Prestegårdsveien 3, Berg",69.44668,17.293971
1445570,"Ingrid Bjerkås-veien 4, Berg",69.44612,17.295597
1445573,"Fjellveien 87, Berg",69.444349,17.321606
1445574,"Fjellveien 16, Berg",69.442428,17.321434
1445575,"Bergsfjordveien 1668, Berg",69.441804,17.326719
1445577,"Bergsfjordveien 1666, Berg",69.441811,17.326132
