,Navn,Long,Lat
26732,"12/29, Kautokeino",69.436389,23.659546
26973,"12/135, Kautokeino",69.42691,23.636634
26974,"12/1/93, Kautokeino",69.452477,23.681724
26975,"17/1-2, Kautokeino",69.311865,23.45579
26976,"14/46, Kautokeino",69.449172,23.687448
27015,"12/15, Kautokeino",69.442759,23.669055
27016,"12/14, Kautokeino",69.42146,23.633789
27017,"12/13, Kautokeino",69.427571,23.636213
27018,"12/8, Kautokeino",69.455742,23.69507
27019,"12/22, Kautokeino",69.45359,23.684546
27020,"12/17, Kautokeino",69.444656,23.671014
27021,"12/16, Kautokeino",69.426257,23.634378
27022,"12/36, Kautokeino",69.424769,23.636886
27023,"12/27, Kautokeino",69.430218,23.635243
27024,"12/40, Kautokeino",69.424205,23.631974
27025,"12/39, Kautokeino",69.433262,23.640956
27026,"12/38, Kautokeino",69.432678,23.639562
27027,"12/1/10, Kautokeino",69.427095,23.627395
27028,"12/1/8, Kautokeino",69.450834,23.680107
27029,"12/1/7, Kautokeino",69.448381,23.676851
27030,"12/1/40, Kautokeino",69.446993,23.66827
27031,"12/151, Kautokeino",69.422236,23.621307
27032,"12/1/11, Kautokeino",69.425978,23.626797
27033,"12/1/69, Kautokeino",69.452075,23.67945
27034,"12/1/64, Kautokeino",69.446298,23.669926
27035,"12/1/42, Kautokeino",69.447255,23.670419
27036,"12/1/91, Kautokeino",69.452032,23.680958
27037,"12/1/89, Kautokeino",69.451805,23.680563
27039,"12/37, Kautokeino",69.587885,23.528343
27044,"12/1/83, Kautokeino",69.45157,23.680218
27045,"12/1/81, Kautokeino",69.42491,23.627778
27046,"12/1/111, Kautokeino",69.445487,23.669385
27047,"12/1/106, Kautokeino",69.452232,23.681304
27048,"12/1/103, Kautokeino",69.448328,23.678181
27049,"12/1/137, Kautokeino",69.549358,23.515185
27050,"12/1/124, Kautokeino",69.426081,23.621106
27051,"12/1/123, Kautokeino",69.442287,23.661811
27052,"12/1/121, Kautokeino",69.447858,23.677646
27053,"12/1/173, Kautokeino",69.444236,23.667491
27054,"12/153, Kautokeino",69.449422,23.68029
27055,"12/1/152, Kautokeino",69.449136,23.673286
27056,"12/1/139, Kautokeino",69.447454,23.677592
27057,"12/1/108, Kautokeino",69.453126,23.683939
27058,"12/43, Kautokeino",69.429426,23.639802
27059,"12/53, Kautokeino",69.443232,23.669998
27060,"12/50, Kautokeino",69.421772,23.631555
27061,"12/49, Kautokeino",69.425328,23.634738
27062,"12/46, Kautokeino",69.4261,23.632424
27063,"12/62, Kautokeino",69.425671,23.631327
27064,"12/61, Kautokeino",69.443455,23.667357
27065,"12/60, Kautokeino",69.450182,23.675346
27066,"12/55, Kautokeino",69.454374,23.687744
27067,"12/68/1, Kautokeino",69.449194,23.678327
27068,"12/65, Kautokeino",69.425381,23.629738
27069,"12/64, Kautokeino",69.450429,23.676072
27070,"12/63, Kautokeino",69.441763,23.662504
27071,"12/72, Kautokeino",69.450195,23.677233
27072,"12/70, Kautokeino",69.421332,23.628981
27073,"12/69, Kautokeino",69.45045,23.677857
27074,"12/68/2, Kautokeino",69.449739,23.677361
27075,"12/77, Kautokeino",69.450739,23.676871
27076,"12/74, Kautokeino",69.451128,23.680072
27077,"12/81, Kautokeino",69.454075,23.684808
27078,"12/80, Kautokeino",69.424963,23.628947
27079,"12/79, Kautokeino",69.449386,23.676973
27080,"12/78, Kautokeino",69.448708,23.677368
27081,"12/94, Kautokeino",69.423257,23.626167
27082,"12/93, Kautokeino",69.421722,23.632144
27083,"12/86, Kautokeino",69.42462,23.628687
27084,"12/82, Kautokeino",69.443003,23.666822
27085,"13/1/7, Kautokeino",69.59901,24.22726
27086,"12/97, Kautokeino",69.420873,23.634946
27087,"14/33, Kautokeino",69.462353,23.70388
27088,"12/75, Kautokeino",69.451244,23.678249
27089,"12/95, Kautokeino",69.449034,23.680151
27090,"12/73, Kautokeino",69.421,23.627567
27092,"12/71, Kautokeino",69.42004,23.633797
27093,"12/47, Kautokeino",69.425003,23.635802
27094,"14/16, Kautokeino",69.44892,23.684573
27095,"12/1/224, Kautokeino",69.612022,23.478979
27096,"14/13, Kautokeino",69.462406,23.704608
27097,"14/7, Kautokeino",69.464857,23.70506
27098,"12/67, Kautokeino",69.454486,23.685721
27099,"12/26, Kautokeino",69.429247,23.648736
27100,"13/1/3, Kautokeino",69.610247,24.120976
27101,"12/1/20, Kautokeino",69.664581,23.420837
27102,"12/48, Kautokeino",69.443605,23.665716
27103,"12/1/118, Kautokeino",69.453026,23.680826
27104,"12/1/51, Kautokeino",69.671402,23.421533
27107,"12/32, Kautokeino",69.477886,23.711982
27108,"12/1/37, Kautokeino",69.649394,23.458291
27109,"12/1/55, Kautokeino",69.692043,23.427441
27110,"12/1/47, Kautokeino",69.69312,23.424825
27111,"12/1/179, Kautokeino",69.678639,23.554436
27112,"12/1/77, Kautokeino",69.631947,23.450621
27113,"12/1/50, Kautokeino",69.633464,23.447962
27114,"12/1/70, Kautokeino",69.635313,23.444104
27115,"12/1/27, Kautokeino",69.637637,23.440918
27116,"12/1/56, Kautokeino",69.627025,23.464993
27117,"12/1/75, Kautokeino",69.622287,23.465629
27118,"12/1/144, Kautokeino",69.626057,23.4553
27119,"12/1/128, Kautokeino",69.631158,23.446666
27120,"12/1/52, Kautokeino",69.629529,23.457561
27121,"12/1/39, Kautokeino",69.629846,23.451925
27122,"12/1/120, Kautokeino",69.629334,23.455189
27123,"12/1/22, Kautokeino",69.628861,23.458225
27124,"12/1/82, Kautokeino",69.632332,23.459657
27125,"12/1/92, Kautokeino",69.631703,23.460454
27126,"12/1/113, Kautokeino",69.630987,23.456337
27127,"12/1/36, Kautokeino",69.630721,23.454808
27128,"17/18, Kautokeino",69.373889,23.464896
27129,"12/1/78, Kautokeino",69.633317,23.457838
27130,"12/1/31, Kautokeino",69.610062,23.473811
27131,"12/1/73, Kautokeino",69.609979,23.477982
27132,"12/1/130, Kautokeino",69.609583,23.48004
27133,"12/1/63, Kautokeino",69.608213,23.479205
27134,"12/1/34, Kautokeino",69.610683,23.468627
27135,"12/1/74, Kautokeino",69.611389,23.470306
27136,"12/1/49, Kautokeino",69.611392,23.472323
27137,"12/1/71, Kautokeino",69.6106,23.476116
27138,"17/1/3, Kautokeino",69.321865,23.465891
27139,"17/1/18, Kautokeino",69.381459,23.612816
27140,"17/1/53, Kautokeino",69.381701,23.611521
27141,"17/1/24, Kautokeino",69.39422,23.619289
27142,"17/1/21, Kautokeino",69.381084,23.616392
27143,"17/1/73, Kautokeino",69.37854,23.616974
27144,"17/1/57, Kautokeino",69.378037,23.612077
27145,"17/1/48, Kautokeino",69.380658,23.614847
27146,"17/1/63, Kautokeino",69.377246,23.613065
27147,"17/1/85, Kautokeino",69.377835,23.619999
27148,"17/1/61, Kautokeino",69.376308,23.613502
27149,"17/1/52, Kautokeino",69.376596,23.616079
27150,"17/1/66, Kautokeino",69.37347,23.61166
27151,"17/1/59, Kautokeino",69.37323,23.616811
27152,"17/1/55, Kautokeino",69.373959,23.61715
27153,"17/1/69, Kautokeino",69.374323,23.614432
27154,"17/1/60, Kautokeino",69.371742,23.614433
27155,"17/1/54, Kautokeino",69.371608,23.612025
27156,"17/1/70, Kautokeino",69.372507,23.61721
27157,"17/1/65, Kautokeino",69.372691,23.614249
27158,"12/1/80, Kautokeino",69.686362,23.59455
27159,"12/1/171, Kautokeino",69.710515,23.556314
27160,"12/1/4, Kautokeino",69.530902,23.457605
27161,"17/1/51, Kautokeino",69.377299,23.611173
27162,"17/1/89, Kautokeino",69.379186,23.613544
27163,"17/1/62, Kautokeino",69.377656,23.616961
27164,"12/1/99, Kautokeino",69.601707,23.500866
27165,"12/1/100, Kautokeino",69.601455,23.501988
