,Navn,Long,Lat
34595,"35/119, Alta",69.859914,23.686365
34596,"35/118, Alta",69.859647,23.685409
39585,"Skomakerdalen, 38/1/42, Alta",69.893011,23.570221
39596,"35/1/45, Alta",69.819981,23.709101
39603,"36/1/1, Alta",69.733531,23.85657
39612,"38/1/31, Alta",69.865511,23.85973
39617,"37/1/11, Alta",69.791769,24.176177
39680,"36/1/3, Alta",69.741693,24.139241
39681,"38/149, Alta",69.889775,23.575528
39684,"38/1/51, Alta",69.873676,23.624781
39913,"35/129, Alta",69.827285,23.775868
39916,"38/160, Alta",69.889881,23.575086
40644,"36/1/2, Alta",69.699056,23.946495
40647,"37/1/7, Alta",69.797549,24.183185
40648,"Øvre Stilla, 37/1/9, Alta",69.816933,23.817645
44375,"35/1/154, Alta",69.821133,23.766801
50718,"Tver Dal Elvebakken, 35/84, Alta",69.827338,23.77337
50726,"Jotka, 36/3, Alta",69.754536,23.932868
54579,"Stilla, 35/1/166, Alta",69.874163,23.611499
54580,"Stilla, 35/1/130, Alta",69.818707,23.772347
1466095,"Mardalsveien 38, Alta",69.953952,23.397963
1466912,"Hestvannet 38, Alta",69.858409,23.44249
1467656,"Tverrelvdalsveien 21, Alta",69.947324,23.407397
1642385,"Sønvismoen 90, Alta",69.921526,23.508784
1652484,"Langvannet 178, Alta",69.871762,23.478266
1652772,"Buolamahaugen 57, Alta",69.869805,23.394102
1653255,"Gåstjønna 40, Alta",69.869763,23.438701
1653413,"Hestvannet 6, Alta",69.863148,23.413129
1668674,"Sønvismoen 72A, Alta",69.922053,23.500717
1672672,"Borrasveien 38, Alta",69.943865,23.409732
1781532,"Øvre Mannsverk 1, Alta",69.923687,23.493339
1787032,"Isbergveien 27, Alta",69.934069,23.414176
1808002,"Lorttjønna 10, Alta",69.864439,23.440723
1808003,"Lorttjønna 18, Alta",69.86424,23.437657
1808004,"Hestvannet 31, Alta",69.858644,23.427004
1808005,"Bollovannet 59, Alta",69.86575,23.475296
1808006,"Hestvannet 84, Alta",69.862981,23.436729
1808007,"Hestvannet 5, Alta",69.863488,23.415331
1808008,"Hestvannet 26, Alta",69.859669,23.419358
1808086,"Bollovannet 110, Alta",69.858947,23.452411
1808087,"Jotka Nord 31, Alta",69.803334,23.818777
1946157,"Romsdalveien 101, Alta",69.917102,23.473578
1967072,"Romsdalveien 76A, Alta",69.921268,23.468133
1971459,"Østerelvdalen 35, Alta",69.918748,23.551063
1971937,"Romsdalveien 105, Alta",69.917033,23.471883
1978949,"Langvannet 190, Alta",69.87174,23.483931
1980510,"Bollovannet 27, Alta",69.866923,23.490165
1980543,"Bollovannet 15, Alta",69.869363,23.490763
1990385,"Øvre Mannsverk 10, Alta",69.923096,23.49274
1990397,"Øvre Mannsverk 6, Alta",69.923258,23.491301
2006997,"Øvre Mannsverk 2, Alta",69.923743,23.492877
2021105,"Bollovannet 39, Alta",69.86781,23.484119
2022746,"Mobrinken 11A, Alta",69.921637,23.505603
2022747,"Mobrinken 9A, Alta",69.92158,23.50515
2023087,"Mobrinken 11B, Alta",69.921616,23.506122
2023238,"Mardalsveien 50B, Alta",69.947884,23.396051
2053451,"Seterveien 20, Alta",69.920753,23.499437
2062147,"Sønvismoen 29, Alta",69.927655,23.484791
2065848,"Romsdalveien 93, Alta",69.917402,23.475381
2067092,"Sønvismoen 51, Alta",69.925008,23.493078
2067985,"Romsdalveien 64, Alta",69.921406,23.470749
2071321,"Sønvismoen 26, Alta",69.92797,23.479407
2071325,"Sønvismoen 24, Alta",69.928092,23.478629
2079047,"Tverrelvdalsveien 68, Alta",69.936192,23.419345
2080668,"Tverrelvdalsveien 66, Alta",69.936201,23.419212
2080740,"Seterveien 6, Alta",69.921969,23.498026
2086036,"Seterveien 22, Alta",69.920684,23.5
2117408,"Tverrelvdalsveien 88B, Alta",69.933086,23.425695
2118862,"Stillaveien 7, Alta",69.933991,23.482235
2118885,"Stillaveien 5, Alta",69.933559,23.48301
2168857,"Soupas 9, Alta",69.946314,23.962444
2173361,"Stillaveien 2, Alta",69.931915,23.482792
2173362,"Bælgiouda 1, Alta",69.931427,23.439955
2173363,"Tverrelvdalsveien 97, Alta",69.934999,23.435948
2173364,"Tverrelvdalsveien 101, Alta",69.93431,23.438372
2173365,"Tverrelvdalsveien 85, Alta",69.935983,23.434574
2173367,"Buolamahaugen 54, Alta",69.87053,23.390371
2173368,"Bollovannet 37, Alta",69.867214,23.485819
2173932,"Langvannet 145, Alta",69.871908,23.462857
2173933,"Holmvannet 39, Alta",69.877084,23.444381
2173934,"Holmvannet 37, Alta",69.877616,23.441376
2173935,"Holmvannet 19, Alta",69.87486,23.427896
2173936,"Gåstjønna 28, Alta",69.869741,23.423618
2173937,"Gåstjønna 24, Alta",69.868486,23.426855
2173938,"Lorttjønna 29, Alta",69.866739,23.44897
2173939,"Lorttjønna 23, Alta",69.867395,23.450253
2173940,"Lorttjønna 21, Alta",69.867329,23.446613
2173941,"Gåstjønna 4, Alta",69.868938,23.439423
2173943,"Lorttjønna 3, Alta",69.86927,23.448198
2173945,"Langvannet 174, Alta",69.870721,23.475849
2173947,"Langvannet 151, Alta",69.872056,23.467923
2173948,"Langvannet 141, Alta",69.872927,23.462501
2173949,"Skomakerberget 11, Alta",69.920692,23.509378
2173950,"Skomakerberget 9, Alta",69.920809,23.508196
2173951,"Skomakerberget 7, Alta",69.920666,23.507214
2173952,"Skomakerberget 5, Alta",69.920553,23.506438
2173953,"Lorttjønna 43, Alta",69.864129,23.452116
2173954,"Skomakerberget 3, Alta",69.920493,23.505686
2173955,"Lorttjønna 41, Alta",69.864626,23.451561
2173956,"Lorttjønna 35, Alta",69.865943,23.450326
2173957,"Lorttjønna 33, Alta",69.866084,23.446725
2174000,"Bollovannet 130, Alta",69.855613,23.493903
2174001,"Bollovannet 128, Alta",69.855436,23.495293
2174003,"Storvannet 6, Alta",69.902514,23.466799
2174004,"Bollovannet 136, Alta",69.857187,23.497961
2174005,"Bollovannet 134, Alta",69.857053,23.494588
2174007,"Skomakerberget 10, Alta",69.920454,23.508689
2174008,"Skomakerberget 12, Alta",69.920271,23.50831
2174009,"Skomakerberget 14, Alta",69.920017,23.507883
2174010,"Skomakerberget 21, Alta",69.919671,23.508349
2174011,"Soupas 30, Alta",69.913231,23.901667
2174012,"Skomakerberget 19, Alta",69.91981,23.508914
2174013,"Skomakerberget 17, Alta",69.92001,23.50924
2174014,"Skomakerberget 15, Alta",69.920244,23.509433
2174015,"Bollovannet 31, Alta",69.867373,23.487735
2174016,"Skomakerberget 13, Alta",69.920444,23.509786
2174017,"Skomakerberget 2, Alta",69.920167,23.50529
2174019,"Skomakerberget 4, Alta",69.9202,23.50607
2174020,"Skomakerberget 6, Alta",69.920215,23.506852
2174035,"Jotka Nord 13, Alta",69.806623,23.8293
2174036,"Jotka Nord 46, Alta",69.797809,23.814283
2174037,"Soupas 44, Alta",69.915808,23.913701
2174038,"Soupas 42, Alta",69.915277,23.913465
2174040,"Soupas 40, Alta",69.914391,23.911941
2174041,"Soupas 2, Alta",69.918522,23.871833
2174042,"Soupas 4, Alta",69.91791,23.872906
2174043,"Soupas 10, Alta",69.916031,23.881397
2174044,"Soupas 36, Alta",69.914006,23.907316
2174045,"Langvannet 58, Alta",69.86786,23.481325
2174047,"Jotka Nord 41, Alta",69.80026,23.814858
2174048,"Jotka Nord 39, Alta",69.800379,23.81231
2174049,"Jotka Nord 53, Alta",69.795562,23.810273
2174051,"Mobrinken 4, Alta",69.920941,23.504508
2174052,"Mobrinken 3, Alta",69.921039,23.503275
2174053,"Mobrinken 2, Alta",69.920784,23.50384
2174054,"Mobrinken 1, Alta",69.920964,23.502784
2174055,"Jotka Nord 23, Alta",69.805011,23.822116
2174056,"Jotka Nord 22, Alta",69.80432,23.820568
