,Navn,Long,Lat
28602,"7/4, Loppa",70.220224,21.710511
28605,"8/1/10, Loppa",70.203023,21.681235
28613,"8/31, Loppa",70.218385,21.733913
28614,"8/37, Loppa",70.216678,21.727069
28653,"8/1/7, Loppa",70.203604,21.679164
28655,"8/1/5, Loppa",70.203399,21.681432
28656,"8/1/3, Loppa",70.203225,21.682326
28659,"8/1/8, Loppa",70.202822,21.682101
48733,"Sør Tverrfjord, 8/39, Loppa",70.218697,21.713123
1491423,"Sør-Tverrfjordveien 153, Loppa",70.220587,21.716648
1491424,"Dalbakken 14, Loppa",70.220835,21.710298
1491429,"Dalbakken 15, Loppa",70.221166,21.710311
1491430,"Sør-Tverrfjordveien 149, Loppa",70.220478,21.715602
1491431,"Sør-Tverrfjordveien 156, Loppa",70.221298,21.714815
1491432,"Sør-Tverrfjordveien 146, Loppa",70.220622,21.713623
1491433,"Sør-Tverrfjordveien 145, Loppa",70.220211,21.715248
1491434,"Sør-Tverrfjordveien 128, Loppa",70.219099,21.713297
1491435,"Sør-Tverrfjordveien 132, Loppa",70.219314,21.713465
1491436,"Sør-Tverrfjordveien 94, Loppa",70.215965,21.710818
1491437,"Sør-Tverrfjordveien 110, Loppa",70.217742,21.712345
1491438,"Sør-Tverrfjordveien 44, Loppa",70.216102,21.721674
1491439,"Sør-Tverrfjordveien 90, Loppa",70.215718,21.71176
1491459,"Sør-Tverrfjordveien 177, Loppa",70.223173,21.720369
1491582,"Skolebakken 2, Loppa",70.219781,21.713087
1491583,"Skolebakken 18, Loppa",70.219049,21.710569
1491584,"Sør-Tverrfjordveien 42, Loppa",70.216195,21.72292
1491585,"Sør-Tverrfjordveien 60, Loppa",70.215646,21.719512
1491586,"Skolebakken 28, Loppa",70.218519,21.70904
1491587,"Skolebakken 20, Loppa",70.218707,21.710795
1491588,"Skolebakken 26, Loppa",70.218835,21.70839
1491589,"Skolebakken 19, Loppa",70.219074,21.70713
1491590,"Sør-Tverrfjordveien 36, Loppa",70.216493,21.724493
1491591,"Sør-Tverrfjordveien 86, Loppa",70.215462,21.712755
1491592,"Sør-Tverrfjordveien 100, Loppa",70.216769,21.711168
1491593,"Sør-Tverrfjordveien 108, Loppa",70.217247,21.710631
1491594,"Sør-Tverrfjordveien 64, Loppa",70.215427,21.718655
1491601,"Skolebakken 30, Loppa",70.218297,21.708369
1491602,"Skolebakken 22, Loppa",70.218949,21.708977
1491603,"Sør-Tverrfjordveien 113, Loppa",70.2178,21.713246
1492105,"Sør-Tverrfjordveien 155, Loppa",70.220728,21.715931
1492125,"Sør-Tverrfjordveien 151, Loppa",70.220383,21.716817
1492175,"Sør-Tverrfjordveien 116, Loppa",70.21792,21.712535
1492197,"Skolebakken 24, Loppa",70.218894,21.709347
1492294,"Sør-Tverrfjordveien 157, Loppa",70.220907,21.716018
1827137,"Dalbakken 16, Loppa",70.220642,21.709901
2011423,"Finnmarklaks, Sør-Tverrfjordveien 61, Loppa",70.216122,21.719656
