,Navn,Long,Lat
793254,"Dalveien 1, Hasvik",70.629127,21.979369
793796,"Dalveien 2, Hasvik",70.629078,21.980069
793914,"Havneveien 42, Hasvik",70.629277,21.979783
794130,"Holmeveien 6, Hasvik",70.632147,21.983963
794231,"Holmeveien 3, Hasvik",70.632432,21.984302
794251,"Holmeveien 4, Hasvik",70.632198,21.984506
794926,"Holmeveien 9, Hasvik",70.632451,21.982656
795188,"Holmeveien 10, Hasvik",70.632245,21.982563
795209,"Holmeveien 7, Hasvik",70.632447,21.98325
795230,"Holmeveien 8, Hasvik",70.632127,21.982827
796441,"Strandveien 29, Hasvik",70.598481,22.108015
797606,"Strandveien 31, Hasvik",70.598318,22.10814
797608,"Dalveien 3, Hasvik",70.62889,21.978519
797610,"Dalveien 4, Hasvik",70.6289,21.97987
797751,"Strandveien 25, Hasvik",70.598813,22.107873
797790,"Masterveien 10, Hasvik",70.632608,21.98939
797791,"Masterveien 11, Hasvik",70.632404,21.989055
797797,"Nyveien 1, Hasvik",70.632121,21.979369
797800,"Nyveien 4, Hasvik",70.632425,21.978035
797801,"Nyveien 5, Hasvik",70.632601,21.978558
797802,"Nyveien 2, Hasvik",70.632206,21.978699
797803,"Nyveien 3, Hasvik",70.632335,21.979624
797821,"Krutthusveien 1, Hasvik",70.631513,21.982173
797822,"Krutthusveien 2, Hasvik",70.632123,21.983475
797827,"Krutthusveien 4, Hasvik",70.631937,21.983249
797828,"Krutthusveien 6, Hasvik",70.631527,21.982768
797829,"Masterveien 4, Hasvik",70.632647,21.987285
797830,"Masterveien 5, Hasvik",70.632331,21.987646
797831,"Masterveien 2, Hasvik",70.632651,21.98661
797832,"Masterveien 3, Hasvik",70.63239,21.986893
797833,"Masterveien 8, Hasvik",70.632666,21.988745
797834,"Masterveien 9, Hasvik",70.632506,21.98852
797835,"Masterveien 6, Hasvik",70.632537,21.987792
797836,"Masterveien 7, Hasvik",70.632293,21.988157
797842,"Masterveien 1, Hasvik",70.632475,21.986087
797900,"Kapellveien 9, Hasvik",70.628419,21.980762
797906,"Kapellveien 2, Hasvik",70.62906,21.981553
797907,"Kapellveien 3, Hasvik",70.628896,21.980464
797910,"Kapellveien 6, Hasvik",70.628811,21.982809
797911,"Kapellveien 7, Hasvik",70.628722,21.981103
797912,"Kapellveien 4, Hasvik",70.62885,21.982217
797921,"Holmeveien 29, Hasvik",70.631212,21.976997
797922,"Holmeveien 31, Hasvik",70.631472,21.977011
797923,"Holmeveien 25, Hasvik",70.63127,21.979323
797924,"Holmeveien 27, Hasvik",70.631147,21.978804
797927,"Holmeveien 35, Hasvik",70.631522,21.977635
797928,"Holmeveien 37, Hasvik",70.631408,21.978656
797948,"Holmeveien 1, Hasvik",70.632438,21.984816
797949,"Holmeveien 2, Hasvik",70.632195,21.985019
797952,"Havneveien 28, Hasvik",70.629748,21.983481
797953,"Havneveien 30, Hasvik",70.629536,21.982849
797954,"Havneveien 26A, Hasvik",70.629556,21.984011
797955,"Havneveien 26B, Hasvik",70.6296,21.984202
797956,"Havneveien 38, Hasvik",70.62895,21.983438
797957,"Havneveien 40, Hasvik",70.62938,21.977234
797958,"Havneveien 34, Hasvik",70.629488,21.983494
797959,"Havneveien 36, Hasvik",70.629105,21.983122
797960,"Holmeveien 13, Hasvik",70.632463,21.980684
797961,"Holmeveien 15, Hasvik",70.632285,21.980459
797962,"Holmeveien 11, Hasvik",70.632667,21.98102
797963,"Holmeveien 12, Hasvik",70.630843,21.978787
797964,"Holmeveien 21, Hasvik",70.631687,21.980021
797965,"Holmeveien 23, Hasvik",70.631518,21.97985
797966,"Holmeveien 17, Hasvik",70.632073,21.980539
797967,"Holmeveien 19, Hasvik",70.631902,21.980087
797968,"Holmeveien 5, Hasvik",70.632445,21.983736
797970,"Havneveien 9, Hasvik",70.629938,21.981601
797971,"Havneveien 10, Hasvik",70.630488,21.985628
797972,"Havneveien 7, Hasvik",70.629904,21.982922
797973,"Havneveien 8, Hasvik",70.630603,21.985931
797974,"Havneveien 14, Hasvik",70.630106,21.985121
797975,"Havneveien 20, Hasvik",70.629883,21.98492
797976,"Havneveien 12, Hasvik",70.630364,21.985324
797977,"Havneveien 13, Hasvik",70.62977,21.979755
797978,"Havneveien 2, Hasvik",70.632251,21.986183
797979,"Havneveien 3, Hasvik",70.630582,21.984958
797980,"Havneveien 1, Hasvik",70.630741,21.985372
797981,"Havneveien 1A, Hasvik",70.631114,21.985824
797982,"Havneveien 5, Hasvik",70.630441,21.984437
797983,"Havneveien 6, Hasvik",70.630708,21.986315
797984,"Havneveien 4, Hasvik",70.631367,21.987053
797985,"Havneveien 4B, Hasvik",70.631135,21.986798
797986,"Vikranveien 14, Hasvik",70.635117,22.010167
797987,"Vikranveien 20, Hasvik",70.634245,22.02376
797988,"Vikranveien 2, Hasvik",70.632444,21.985275
797989,"Vikranveien 4, Hasvik",70.633206,21.986856
798002,"Øvervollveien 12, Hasvik",70.634163,22.025322
798003,"Øvervollveien 14, Hasvik",70.634265,22.024869
798009,"Øvervollveien 11, Hasvik",70.634199,22.029646
798020,"Strandveien 41, Hasvik",70.597205,22.108343
798046,"Strandveien 3, Hasvik",70.599947,22.111232
798047,"Strandveien 5, Hasvik",70.599822,22.109903
798049,"Strandveien 1, Hasvik",70.599816,22.112033
798056,"Strandveien 27, Hasvik",70.598598,22.107968
798057,"Strandveien 37, Hasvik",70.597797,22.108351
798058,"Strandveien 39, Hasvik",70.597627,22.108314
798059,"Strandveien 33, Hasvik",70.598183,22.108267
798060,"Strandveien 35, Hasvik",70.597995,22.108309
798061,"Strandveien 10, Hasvik",70.597147,22.109013
798062,"Strandveien 11, Hasvik",70.599575,22.107919
798063,"Strandveien 7, Hasvik",70.599641,22.10884
798064,"Strandveien 9, Hasvik",70.599797,22.108256
798065,"Strandveien 21, Hasvik",70.599129,22.107596
798066,"Strandveien 23, Hasvik",70.598975,22.107856
798067,"Strandveien 12, Hasvik",70.597107,22.109658
798068,"Strandveien 19, Hasvik",70.599402,22.106992
798073,"Storliveien 1, Hasvik",70.633522,21.996873
798074,"Storliveien 2, Hasvik",70.633953,21.998243
798093,"Storliveien 5, Hasvik",70.633671,21.998876
798095,"Storliveien 3, Hasvik",70.633543,21.997647
798096,"Storliveien 4, Hasvik",70.634097,21.999352
798107,"Stangsundveien 6, Hasvik",70.628949,21.977685
798108,"Stangsundveien 8, Hasvik",70.628754,21.977243
798110,"Stangsundveien 1, Hasvik",70.629025,21.976906
798111,"Stangsundveien 25, Hasvik",70.62889,21.97247
798113,"Stangsundveien 10, Hasvik",70.628585,21.977045
798114,"Stangsundveien 12, Hasvik",70.628398,21.976845
798179,"Sentrumsveien 7, Hasvik",70.630866,21.983947
798180,"Sentrumsveien 9, Hasvik",70.630653,21.983767
798181,"Sentrumsveien 4, Hasvik",70.630613,21.984284
798182,"Sentrumsveien 5, Hasvik",70.630944,21.984383
798185,"Sentrumsveien 11, Hasvik",70.630762,21.983347
798186,"Sentrumsveien 13, Hasvik",70.630642,21.982314
798201,"Ringveien 11, Hasvik",70.631696,21.975457
798202,"Ringveien 13, Hasvik",70.631492,21.975176
798203,"Ringveien 6, Hasvik",70.631842,21.978139
798204,"Ringveien 10, Hasvik",70.631743,21.976567
798207,"Ringveien 15, Hasvik",70.631449,21.974159
798209,"Platåveien 4B, Hasvik",70.633918,22.025903
798210,"Platåveien 10, Hasvik",70.633349,22.027924
798211,"Platåveien 2, Hasvik",70.634087,22.02467
798212,"Platåveien 4A, Hasvik",70.633946,22.025715
798213,"Ringveien 4, Hasvik",70.631607,21.978369
798214,"Ringveien 5, Hasvik",70.632168,21.977427
798215,"Ringveien 1, Hasvik",70.631887,21.979465
798216,"Ringveien 2, Hasvik",70.631719,21.979186
798221,"Sentrumsveien 2, Hasvik",70.630753,21.984724
798222,"Sentrumsveien 3, Hasvik",70.630957,21.984887
798241,"Nyveien 8, Hasvik",70.632695,21.979319
798243,"Nyveien 6, Hasvik",70.632481,21.979119
798244,"Nyveien 7, Hasvik",70.632566,21.979853
798249,"Nygårdveien 10, Hasvik",70.600506,22.118844
798250,"Nygårdveien 13, Hasvik",70.599936,22.120886
798251,"Nygårdveien 6, Hasvik",70.600151,22.115586
798252,"Nygårdveien 8, Hasvik",70.600337,22.115948
798253,"Nygårdveien 16, Hasvik",70.599392,22.121797
798254,"Nygårdveien 17, Hasvik",70.599063,22.121399
798255,"Nygårdveien 14, Hasvik",70.600091,22.120572
798256,"Nygårdveien 15, Hasvik",70.599541,22.121443
798262,"Nygårdveien 1, Hasvik",70.599589,22.112586
798265,"Øvervollveien 13B, Hasvik",70.63424,22.028838
798266,"Øvervollveien 13C, Hasvik",70.634197,22.028566
798267,"Øvervollveien 8C, Hasvik",70.633939,22.028173
798269,"Øvervollveien 13A, Hasvik",70.634242,22.028568
798270,"Ringveien 8B, Hasvik",70.631845,21.977599
798271,"Stangsundveien 3A, Hasvik",70.628757,21.976784
798272,"Øvervollveien 13D, Hasvik",70.634186,22.028835
798273,"Ringveien 8A, Hasvik",70.631809,21.977543
798274,"Platåveien 12D, Hasvik",70.633212,22.028429
798275,"Øvervollveien 2A, Hasvik",70.633315,22.029056
798276,"Platåveien 12B, Hasvik",70.633165,22.028751
798277,"Platåveien 12C, Hasvik",70.633184,22.02859
798278,"Øvervollveien 8A, Hasvik",70.633892,22.028576
798279,"Øvervollveien 8B, Hasvik",70.63392,22.028361
798280,"Øvervollveien 2B, Hasvik",70.633343,22.028869
798281,"Øvervollveien 2C, Hasvik",70.633362,22.028681
798282,"Havneveien 11B, Hasvik",70.629565,21.981014
798283,"Havneveien 11C, Hasvik",70.629511,21.981065
798285,"Havneveien 11A, Hasvik",70.629636,21.981206
798286,"Stangsundveien 5B, Hasvik",70.628552,21.976503
798287,"Stangsundveien 5C, Hasvik",70.628588,21.976532
798288,"Stangsundveien 3B, Hasvik",70.628792,21.97684
798289,"Stangsundveien 5A, Hasvik",70.628517,21.976474
798290,"Holmeveien 20, Hasvik",70.63097,21.973959
798293,"Stangsundveien 5D, Hasvik",70.628624,21.976588
798314,"Havneveien 16A, Hasvik",70.630083,21.984364
798315,"Platåveien 12A, Hasvik",70.633137,22.028965
798343,"Kapellveien 11, Hasvik",70.628037,21.981687
798433,"Øvervollveien 20, Hasvik",70.635441,22.024476
798434,"Øvervollveien 22, Hasvik",70.635419,22.025231
798437,"Øvervollveien 26, Hasvik",70.634991,22.026233
798438,"Øvervollveien 28, Hasvik",70.634748,22.026382
798462,"Vikranveien 13, Hasvik",70.635122,22.009383
1865520,"Markeila 8, Hasvik",70.610244,22.019847
1865531,"Markeila 10, Hasvik",70.610438,22.017564
