,Navn,Long,Lat
1166565,"Hvalrossveien 4, Hammerfest",70.679749,23.693296
1166566,"Hvalrossveien 3, Hammerfest",70.680377,23.694694
1166567,"Hvalrossveien 2, Hammerfest",70.679925,23.694044
1166568,"Hvalrossveien 1, Hammerfest",70.680559,23.695062
1166569,"Hvalrossveien 9, Hammerfest",70.678412,23.68899
1166570,"Hvalrossveien 8, Hammerfest",70.679564,23.692386
1166571,"Hvalrossveien 6, Hammerfest",70.679684,23.692894
1166572,"Hvalrossveien 5, Hammerfest",70.680238,23.694025
1166573,"Hvalrossveien 13, Hammerfest",70.678095,23.688467
1166574,"Hvalrossveien 12, Hammerfest",70.679245,23.69162
1166575,"Hvalrossveien 11, Hammerfest",70.678267,23.688673
1166576,"Hvalrossveien 10, Hammerfest",70.679409,23.692017
1166577,"Hvalrossveien 19, Hammerfest",70.677985,23.689421
1166578,"Hvalrossveien 18, Hammerfest",70.678691,23.690462
1166579,"Hvalrossveien 16, Hammerfest",70.678909,23.690882
1166580,"Hvalrossveien 14, Hammerfest",70.679037,23.691254
1166581,"Hvalrossveien 25, Hammerfest",70.678069,23.691311
1168418,"Erik Eriksens vei 25, Hammerfest",70.684309,23.702503
1168420,"Finnmarksveien 16, Hammerfest",70.674884,23.662429
1168421,"Finnmarksveien 14, Hammerfest",70.674799,23.66173
1168424,"Finnmarksveien 62, Hammerfest",70.679621,23.675109
1168425,"Finnmarksveien 56, Hammerfest",70.678564,23.669812
1168426,"Finnmarksveien 54, Hammerfest",70.678117,23.668648
1168427,"Finnmarksveien 50, Hammerfest",70.677738,23.666884
1168428,"Finnmarksveien 90, Hammerfest",70.687152,23.682021
1168429,"Finnmarksveien 78, Hammerfest",70.680316,23.677205
1168430,"Finnmarksveien 70, Hammerfest",70.679991,23.675547
1168431,"Finnmarksveien 68, Hammerfest",70.67978,23.67472
1168434,"Finnmarksveien 96, Hammerfest",70.692534,23.701774
1168435,"Finnmarksveien 92, Hammerfest",70.692685,23.695994
1168465,"Erik Eriksens vei 4, Hammerfest",70.68486,23.703094
