,Navn,Long,Lat
835796,"Revsnesveien 50, Kokelv",70.68479,24.365164
835818,"Revsnesveien 9, Kokelv",70.684973,24.348344
835819,"Revsnesveien 36, Kokelv",70.683149,24.357334
835820,"Revsnesveien 22, Kokelv",70.682425,24.349039
835821,"Revsnesveien 20, Kokelv",70.68268,24.348151
835822,"Bekkarbuktveien 51, Kokelv",70.68043,24.307657
835823,"Bekkarbuktveien 42, Kokelv",70.681911,24.315328
835824,"Bekkarbuktveien 29, Kokelv",70.680616,24.322998
835825,"Revsnesveien 8, Kokelv",70.685088,24.347993
835826,"Revsnesveien 18, Kokelv",70.682917,24.347326
835847,"Revsnesveien 38, Kokelv",70.682758,24.358456
1643603,"Bekkarbuktveien 25, Kokelv",70.680368,24.327566
1656563,"Revsnesveien 1, Kokelv",70.686604,24.350518
1871388,"Bekkarbuktveien 40, Kokelv",70.681516,24.315093
2038809,"Bekkarbuktveien 11, Kokelv",70.682148,24.341658
2189558,"Ljåvika 1, Kokelv",70.666357,24.466416
2189601,"Ljåvika 3, Kokelv",70.666566,24.466398
2189602,"Store Gåtevika 7, Kokelv",70.680108,24.416777
2189617,"Store Gåtevika 3, Kokelv",70.680183,24.402058
2189628,"Store Gåtevika 9, Kokelv",70.680051,24.417015
2190848,"Teistbukta 1, Kokelv",70.66096,24.2886
