,Navn,Long,Lat
27678,"Panserbu, 23/1/3-8, Porsanger",69.92244,25.27616
27679,"23/1/3-6, Porsanger",69.918504,25.2875
27680,"23/1/3-7, Porsanger",69.92239,25.274781
27688,"Beiavann Vest, 23/1/3-9, Porsanger",69.909238,25.101605
27689,"Mellomfjell, 23/1/3-4, Porsanger",69.900298,25.459836
27690,"Halkkavarre, 23/1/3-5, Porsanger",69.936072,25.358277
27699,"Gagga, 23/1/3-2, Porsanger",69.916312,25.26223
27700,"Langvann Nord, 23/1/3-3, Porsanger",69.868701,25.375349
36194,"20/77/1, Porsanger",69.90072,25.005359
44140,"20/77, Porsanger",69.904324,24.991269
2113786,"Skoganvarreveien 1721, Porsanger",69.90488,24.997266
2183639,"Skoganvarreveien 2297, Porsanger",69.861988,25.038806
2192065,"Gaupeveien 1, Porsanger",69.90041,24.992882
2378271,"Rypeveien 36B, Porsanger",69.900713,24.995603
2378273,"Rypeveien 37A, Porsanger",69.90126,24.996153
2378275,"Rypeveien 35B, Porsanger",69.90101,24.993649
2378277,"Rypeveien 36A, Porsanger",69.900883,24.995525
2378279,"Rypeveien 34B, Porsanger",69.901279,24.993937
2378282,"Rypeveien 38B, Porsanger",69.901322,24.996674
2378286,"Rypeveien 33B, Porsanger",69.901162,24.994875
2378288,"Rypeveien 34A, Porsanger",69.901404,24.993886
2378290,"Rypeveien 32B, Porsanger",69.901548,24.994278
2378292,"Rypeveien 33A, Porsanger",69.901287,24.994876
2378294,"Rypeveien 31B, Porsanger",69.901466,24.995242
2378296,"Rypeveien 32A, Porsanger",69.901673,24.994174
2378299,"Rypeveien 30B, Porsanger",69.901493,24.996076
2378301,"Rypeveien 31A, Porsanger",69.901583,24.995242
2378303,"Rypeveien 37B, Porsanger",69.901107,24.99623
2378304,"Rypeveien 38A, Porsanger",69.901474,24.996649
2378369,"Rypeveien 35A, Porsanger",69.901127,24.993624
2378371,"Gen.Ad. Dahls vei 8A, Porsanger",69.90302,24.990792
2378372,"Gen.Ad. Dahls vei 8B, Porsanger",69.902948,24.990714
2378373,"Gen.Ad. Dahls vei 6A, Porsanger",69.903351,24.991471
2378375,"Gen.Ad. Dahls vei 6B, Porsanger",69.903279,24.991367
2378377,"Rypeveien 30A, Porsanger",69.901645,24.996051
2378379,"Gen.Ad. Dahls vei 14A, Porsanger",69.902103,24.990282
2378380,"Gen.Ad. Dahls vei 14B, Porsanger",69.902032,24.990183
2378381,"Gen.Ad. Dahls vei 12A, Porsanger",69.902401,24.990399
2378382,"Gen.Ad. Dahls vei 12B, Porsanger",69.902322,24.990302
2378383,"Gen.Ad. Dahls vei 10A, Porsanger",69.902697,24.990556
2378384,"Gen.Ad. Dahls vei 10B, Porsanger",69.902634,24.990529
2378913,"Gen.Ad. Dahls vei 1, Porsanger",69.903796,24.996427
2378914,"Gen.Ad. Dahls vei 3, Porsanger",69.903428,24.993189
2378915,"Gaupeveien 9, Porsanger",69.900006,24.994707
2378916,"Gaupeveien 10, Porsanger",69.898775,24.992936
2378917,"Rypeveien 29, Porsanger",69.901609,24.997145
2378918,"Gaupeveien 7, Porsanger",69.899379,24.993831
2379060,"Gaupeveien 8, Porsanger",69.899389,24.992954
2379061,"Gaupeveien 5, Porsanger",69.899621,24.993987
2379062,"Gaupeveien 6, Porsanger",69.899658,24.993124
2379063,"Gaupeveien 3, Porsanger",69.900129,24.993947
2379064,"Gaupeveien 4, Porsanger",69.899908,24.993304
2379065,"Gaupeveien 2, Porsanger",69.900173,24.993134
2379939,"Ikkasveien 3, Porsanger",69.901529,25.047729
2380106,"Jerveveien 2, Porsanger",69.902181,24.998738
2380107,"Jerveveien 4, Porsanger",69.90176,24.999257
2380279,"Skoganvarreveien 1740, Porsanger",69.903346,25.000058
2380283,"Halkavarreveien 1227, Porsanger",69.938191,25.150374
2380311,"Halkavarreveien 821, Porsanger",69.927951,25.099805
2384201,"Andersveien 1, Porsanger",69.903411,24.99712
2384202,"Andersveien 3, Porsanger",69.903322,24.997788
2384203,"Andersveien 5, Porsanger",69.903155,24.997859
