,Navn,Long,Lat
27503,"Børselv, 36/1/23, Porsanger",70.464553,25.786758
27504,"Indre Kjæs, 36/13, Porsanger",70.59272,25.941448
27505,"Leirpollen, 36/1/24, Porsanger",70.453458,25.796834
27506,"Ailligas, 36/1/25, Porsanger",70.451857,25.779643
27521,"39/1/12, Porsanger",70.582742,26.067882
27533,"34/208, Porsanger",70.325843,25.595276
27544,"34/1/38, Porsanger",70.327524,25.618733
27545,"34/1/4, Porsanger",70.326448,25.603396
27549,"36/39, Porsanger",70.503181,25.712859
27550,"36/1/26, Porsanger",70.457414,25.801093
27554,"39/1/11, Porsanger",70.57441,26.057544
27561,"31/1/25, Porsanger",70.232859,25.418692
27562,"31/1/26, Porsanger",70.231804,25.416984
27563,"31/1/23, Porsanger",70.232293,25.415249
27572,"31/1/16, Porsanger",70.231516,25.414997
27573,"31/1/14, Porsanger",70.231075,25.42107
27574,"31/1/20, Porsanger",70.230098,25.418
27575,"31/1/17, Porsanger",70.230543,25.419229
27576,"31/1/7, Porsanger",70.23047,25.414396
27577,"31/1/15, Porsanger",70.231024,25.414974
27578,"31/1/12, Porsanger",70.229761,25.413505
27579,"31/1/21, Porsanger",70.228831,25.415958
27581,"34/158, Porsanger",70.325058,25.594223
27583,"34/165, Porsanger",70.326748,25.613331
27584,"34/167, Porsanger",70.326959,25.61435
27585,"34/1/23, Porsanger",70.325628,25.606561
27586,"34/1/21, Porsanger",70.326308,25.61124
27594,"36/1/17, Porsanger",70.507813,25.957099
27597,"36/1/7, Porsanger",70.453566,25.770645
27598,"36/1/18, Porsanger",70.458032,25.79625
27599,"36/1/19, Porsanger",70.456711,25.832541
27601,"35/1/12, Porsanger",70.445915,25.773204
27606,"36/1/21, Porsanger",70.484174,25.881594
27617,"39/1/3, Porsanger",70.579689,26.061702
27618,"39/1/4, Porsanger",70.580105,26.062562
27619,"39/1/5, Porsanger",70.579884,26.062118
27620,"39/15, Porsanger",70.573767,26.068119
27621,"39/1/6, Porsanger",70.580129,26.060192
27622,"34/1/74, Porsanger",70.326201,25.608815
27662,"SAPPIRJOENJäRVI, 31/1/24, Porsanger",70.154619,25.559889
27664,"Alainenjærvi, 35/1-3, Porsanger",70.417571,25.768564
27667,"Roussacohkka, 39/1-1, Porsanger",70.645762,26.098402
27668,"Bajit Stalujåkka, 38/1-2, Porsanger",70.535482,25.995878
27669,"Måusajærvi, 38/1/1, Porsanger",70.497422,25.968423
27674,"Kjæsvannet, 38/1-1, Porsanger",70.57314,26.079098
27675,"Vieksadalen, 36/1-2, Porsanger",70.474649,25.927537
27676,"Vieksadalen, 36/1-1, Porsanger",70.425779,25.915023
27706,"33/1-1, Porsanger",70.250593,25.353159
27725,"40/2-6, Porsanger",70.699877,25.860747
27726,"40/2-7, Porsanger",70.666464,25.79505
27727,"40/2-4, Porsanger",70.699877,25.860747
27728,"40/2-5, Porsanger",70.699877,25.860747
27729,"40/2-8, Porsanger",70.699877,25.860747
27732,"35/1-2, Porsanger",70.488726,25.663168
27733,"34/1-1, Porsanger",70.322811,25.369558
27734,"33/2, Porsanger",70.284193,25.31242
27735,"40/2-2, Porsanger",70.699877,25.860747
