,Navn,Long,Lat
1843004,"Njáhkájávri 14, Karasjok",69.445866,25.043683
1959982,"Bajitgorži 124, Karasjok",69.468689,25.440186
1960018,"Rávdojohka 22, Karasjok",69.457987,25.442335
1960471,"Ávjovárgeaidnu 3742, Karasjok",69.401605,24.652942
1960473,"Ávjovárgeaidnu 3748, Karasjok",69.400479,24.653383
1960768,"Ávjovárgeaidnu 1735, Karasjok",69.43766,25.098045
2071651,"Ávjovárgeaidnu 3702, Karasjok",69.402013,24.660846
2074954,"Ávjovárgeaidnu 182, Karasjok",69.462522,25.469164
2078168,"Ávjovárgeaidnu 3526, Karasjok",69.410752,24.710816
2171945,"Njáhkájávri 12, Karasjok",69.444819,25.039004
2171946,"Ávjovárgeaidnu 1546, Karasjok",69.43308,25.157603
2171947,"Háldenjárga 50, Karasjok",69.443437,25.345584
2171948,"Sáttojogaš 53, Karasjok",69.44193,25.306445
2171949,"Ávjovárgeaidnu 1736, Karasjok",69.428193,25.10029
2171950,"Ássebákti 40, Karasjok",69.440634,25.192079
2171951,"Sáđejohnjálbmi 1, Karasjok",69.439925,25.003076
2171952,"Ávjovárgeaidnu 1190, Karasjok",69.442233,25.220032
2171953,"Ássebákti 54, Karasjok",69.440343,25.189397
2171956,"Ássebákti 32, Karasjok",69.441025,25.193819
2171957,"Gussanjárga 31, Karasjok",69.425621,25.08431
2171966,"Ávjovárgeaidnu 3753, Karasjok",69.401958,24.649017
2171968,"Ávjovárgeaidnu 3268, Karasjok",69.422795,24.75291
2171972,"Ávjovárgeaidnu 3737, Karasjok",69.402495,24.651255
2171974,"Ávjovárgeaidnu 3704, Karasjok",69.402028,24.660139
2171976,"Gárdin 2, Karasjok",69.526284,24.957781
2171978,"Gárdin 1, Karasjok",69.526136,24.952772
2171980,"Mollešjohka 1, Karasjok",69.565778,24.389057
2171981,"Ájotluoppal 1, Karasjok",69.47444,24.318615
2171982,"Ávjovárgeaidnu 3516, Karasjok",69.410243,24.711059
2171983,"Rissečohkka 1, Karasjok",69.711626,24.20179
2171984,"Čoavddatmohkki 113, Karasjok",69.368052,24.434657
2171985,"Čoavddatmohkki 110, Karasjok",69.370761,24.455867
2171986,"Vuolit Mollešjohka 3, Karasjok",69.527852,24.385254
2171987,"Vuolit Mollešjohka 2, Karasjok",69.527268,24.383733
2171988,"Rávdojohka 12, Karasjok",69.459665,25.446014
2171989,"Ávjovárgeaidnu 450, Karasjok",69.45608,25.405319
2171990,"Rávdojohka 87, Karasjok",69.464251,25.443715
2171991,"Vájamohkenjárga 91, Karasjok",69.447872,25.386974
2171992,"Ávjovárgeaidnu 276, Karasjok",69.457777,25.445283
2171993,"Ávjovárgeaidnu 260, Karasjok",69.459019,25.448534
2171994,"Ávjovárgeaidnu 395, Karasjok",69.456615,25.418222
2171995,"Ávjovárgeaidnu 307, Karasjok",69.457063,25.437902
2171996,"Rávdojohnjárga 17, Karasjok",69.454683,25.445407
2171997,"Ávjovárgeaidnu 353, Karasjok",69.456262,25.429583
2171998,"Ávjovárgeaidnu 422, Karasjok",69.456203,25.411984
2171999,"Ávjovárgeaidnu 646, Karasjok",69.448254,25.36418
2172000,"Rávdojohnjárga 41, Karasjok",69.455059,25.45139
2172001,"Vájamohkenjárga 46, Karasjok",69.449364,25.396636
2172002,"Vájamohkenjárga 53, Karasjok",69.450825,25.38689
2172003,"Rávdojohka 47, Karasjok",69.46068,25.443157
2172004,"Vájamohkenjárga 48, Karasjok",69.451513,25.388214
2172005,"Vájamohkenjárga 104, Karasjok",69.446798,25.389299
2172007,"Ávjovárgeaidnu 245, Karasjok",69.460551,25.45083
2172008,"Rávdojohnjárga 39, Karasjok",69.454552,25.449921
2172009,"Rávdojohnjárga 35, Karasjok",69.454144,25.448737
2172011,"Ávjovárgeaidnu 420, Karasjok",69.456237,25.413008
2172013,"Vájamohkenjárga 95, Karasjok",69.447137,25.388572
2172015,"Rávdojohka 57, Karasjok",69.461987,25.443803
2172017,"Vájamohkenjárga 89, Karasjok",69.448157,25.386848
2172018,"Rávdojohka 20, Karasjok",69.457939,25.44254
2172019,"Ávjovárgeaidnu 408, Karasjok",69.456247,25.415069
2172020,"Rávdojohka 72, Karasjok",69.462467,25.442363
2172021,"Háldenjárga 28, Karasjok",69.444076,25.34771
2172022,"Sáttojogaš 25, Karasjok",69.441029,25.297744
2172023,"Ávjovárgeaidnu 1173, Karasjok",69.444903,25.229793
2172024,"Háldenjárga 27, Karasjok",69.443107,25.337639
2172057,"Šuoššjávri 231, Karasjok",69.380939,24.237668
2172058,"Ástejohka 1, Karasjok",69.340804,24.499043
2172059,"Šuoššjávri 32, Karasjok",69.376376,24.260509
2172062,"Šuoššjávri 69, Karasjok",69.37776,24.248204
2172095,"Ávjovárgeaidnu 186, Karasjok",69.461701,25.465248
2172096,"Bajitgorži 260, Karasjok",69.480045,25.447981
2172097,"Ávjovárgeaidnu 224, Karasjok",69.459508,25.455897
2172098,"Bajitgorži 54, Karasjok",69.46452,25.45294
2172100,"Bajitgorži 128, Karasjok",69.469623,25.441044
2172101,"Bajitgorži 162, Karasjok",69.472583,25.440095
2172102,"Bajitgorži 166, Karasjok",69.473356,25.439221
