,Navn,Long,Lat
1468874,"Valan 25, Nordkapp",71.014774,26.024432
1468875,"Valan 12, Nordkapp",71.010515,25.995564
1468889,"Nedre St. Hansvei 7, Nordkapp",70.983175,25.970467
1468890,"Øvre St. Hansvei 15, Nordkapp",70.983431,25.97114
1468891,"Nedre St. Hansvei 5, Nordkapp",70.983039,25.970707
1468892,"Øvre St. Hansvei 17, Nordkapp",70.983506,25.97043
1468893,"Øvre St. Hansvei 12, Nordkapp",70.983289,25.970858
1468894,"Øvre St. Hansvei 11, Nordkapp",70.983176,25.971814
1468895,"Nedre St. Hansvei 9, Nordkapp",70.983338,25.970173
1468896,"Øvre St. Hansvei 13, Nordkapp",70.983294,25.971545
1468897,"Øvre St. Hansvei 8, Nordkapp",70.983034,25.971504
1468898,"Øvre St. Hansvei 7, Nordkapp",70.982895,25.972321
1468899,"Øvre St. Hansvei 10, Nordkapp",70.98317,25.971209
1468900,"Øvre St. Hansvei 9, Nordkapp",70.983031,25.972053
1468901,"Øvre St. Hansvei 1, Nordkapp",70.982506,25.972904
1468902,"Øvre St. Hansvei 6, Nordkapp",70.982916,25.971717
1468903,"Øvre St. Hansvei 5, Nordkapp",70.982723,25.972559
1468904,"Øvre St. Hansvei 3, Nordkapp",70.982651,25.972665
1468905,"Nedre Storbuktvei 10, Nordkapp",70.993057,25.974391
1468906,"Nedre Storbuktvei 8, Nordkapp",70.992899,25.973805
1468907,"Nedre Storbuktvei 7, Nordkapp",70.992389,25.972044
1468908,"Nedre Storbuktvei 6, Nordkapp",70.99315,25.973763
1468909,"Nedre Storbuktvei 16, Nordkapp",70.99257,25.973401
1468910,"Nedre Storbuktvei 14, Nordkapp",70.99264,25.97357
1468911,"Nedre Storbuktvei 9, Nordkapp",70.992266,25.971597
1468912,"Nedre Storbuktvei 12, Nordkapp",70.992778,25.974568
1468913,"Nedre Storbuktvei 24, Nordkapp",70.992121,25.971919
1468914,"Nedre Storbuktvei 22, Nordkapp",70.992244,25.972366
1468915,"Nedre Storbuktvei 20, Nordkapp",70.992358,25.97273
1468916,"Nedre Storbuktvei 18, Nordkapp",70.992473,25.973066
1468917,"Nedre St. Hansvei 3, Nordkapp",70.982894,25.970946
1468918,"Nedre St. Hansvei 11, Nordkapp",70.983429,25.969848
1468919,"Nedre St. Hansvei 1, Nordkapp",70.982749,25.971131
1468920,"Nedre Storbuktvei 26, Nordkapp",70.991952,25.971717
1468921,"Øvre Storbuktvei 2, Nordkapp",70.991966,25.973973
1468922,"Valan 2, Nordkapp",71.007139,25.963605
1468923,"Storgata 12C, Nordkapp",70.981442,25.975485
1468924,"Nedre Storbuktvei 1, Nordkapp",70.992768,25.973192
1468925,"Øvre Storbuktvei 8, Nordkapp",70.991554,25.972356
1468926,"Øvre Storbuktvei 6, Nordkapp",70.991694,25.972913
1468927,"Øvre Storbuktvei 4, Nordkapp",70.991861,25.973472
