,Navn,Long,Lat
1468854,"Kobbholdalen 12, Nordkapp",70.961843,25.678198
1468855,"Sarnesveien 64, Nordkapp",70.946163,25.73335
1468856,"Kobbholdalen 7, Nordkapp",70.962112,25.686474
1468857,"Kobbholdalen 9, Nordkapp",70.962767,25.682327
1468858,"Kobbholdalen 8, Nordkapp",70.961581,25.682993
1468859,"Kobbholdalen 11, Nordkapp",70.961948,25.680976
1538835,"Sarnesøra 6, Nordkapp",70.97329,25.7942
1645073,"Vika 10, Nordkapp",70.979185,25.720757
1645074,"Vika 8, Nordkapp",70.97913,25.720169
1939370,"Ørntind 6, Nordkapp",70.981918,25.759561
1970522,"Vika 14, Nordkapp",70.978486,25.721676
1970811,"Sætervågen 19, Nordkapp",70.974843,25.79112
1970953,"Ørntind 11, Nordkapp",70.981412,25.758205
1970954,"Sætervågen 13, Nordkapp",70.975207,25.787795
1971163,"Sætervågen 18, Nordkapp",70.972744,25.79982
1971165,"Sætervågen 16, Nordkapp",70.97359,25.796001
1971166,"Sætervågen 37, Nordkapp",70.972054,25.799865
1971732,"Sarnesveien 28, Nordkapp",70.990942,25.741538
1971763,"Sarnesveien 12, Nordkapp",70.976294,25.793389
1971830,"Sarnesveien 31, Nordkapp",70.981067,25.718734
1971831,"Sarnesveien 17, Nordkapp",70.98052,25.778638
1971832,"Sarnesveien 19, Nordkapp",70.982864,25.766973
1971833,"Sarnesveien 11, Nordkapp",70.977725,25.788345
1971867,"Sarnesveien 36, Nordkapp",70.980212,25.718775
2043303,"Sarnesøra 12, Nordkapp",70.972921,25.793619
2043648,"Sarnesøra 13A, Nordkapp",70.974209,25.780135
2055917,"Gullgammen 18, Nordkapp",70.947383,25.652625
2442867,"Sarnesveien 44, Nordkapp",70.968882,25.70669
2442869,"Sarnesveien 46, Nordkapp",70.968274,25.703634
2442871,"Kobbholdalen 5, Nordkapp",70.961024,25.689423
2442873,"Kobbholdalen 6, Nordkapp",70.961476,25.686449
2442878,"Sarnesveien 25, Nordkapp",70.984838,25.724615
2442909,"Baklia 5, Nordkapp",70.975744,25.854866
2442910,"Baklia 2, Nordkapp",70.977333,25.8492
2442911,"Sarnesveien 2, Nordkapp",70.976475,25.824179
2442912,"Sarnespollen 5, Nordkapp",70.985515,25.751673
2442913,"Gullgammen 16, Nordkapp",70.946618,25.658083
2442915,"Baklia 6, Nordkapp",70.973601,25.856712
2442917,"Sætervågen 9, Nordkapp",70.975487,25.786514
2442919,"Ørntind 4, Nordkapp",70.981619,25.761861
2442921,"Ørntind 5, Nordkapp",70.981659,25.760929
2442922,"Sarnesøra 23, Nordkapp",70.976774,25.774123
2442923,"Sætervågen 29, Nordkapp",70.973261,25.796331
2442924,"Sætervågen 25, Nordkapp",70.974023,25.792519
2442925,"Sætervågen 23, Nordkapp",70.974242,25.791843
2442926,"Sætervågen 11, Nordkapp",70.975358,25.787057
2442927,"Sætervågen 39, Nordkapp",70.971842,25.800497
2442928,"Sætervågen 35, Nordkapp",70.972322,25.79953
2442929,"Sætervågen 20, Nordkapp",70.972559,25.80042
2442930,"Sætervågen 33, Nordkapp",70.972521,25.799045
2442931,"Sarnesøra 11, Nordkapp",70.974307,25.782091
2442932,"Sarnesøra 13, Nordkapp",70.97446,25.78001
2442934,"Sarnesøra 15, Nordkapp",70.974873,25.778105
2442939,"Sarnespollen 9, Nordkapp",70.985383,25.74655
2442941,"Ørntind 3, Nordkapp",70.980424,25.764282
2442943,"Sarnespollen 3, Nordkapp",70.985061,25.754178
2442945,"Sarnespollen 6, Nordkapp",70.985477,25.749523
2442954,"Sarnesveien 9, Nordkapp",70.977148,25.787743
2442955,"Finnvika 5, Nordkapp",70.974181,25.477921
2442956,"Sarnesveien 61, Nordkapp",71.002204,25.764802
2442957,"Ørntind 9, Nordkapp",70.981453,25.758858
2442959,"Sarnesøra 25, Nordkapp",70.977278,25.773624
2442960,"Sætervågen 6, Nordkapp",70.97574,25.787872
2442962,"Sarnesøra 9, Nordkapp",70.974073,25.784169
2442963,"Sarnesøra 27, Nordkapp",70.977419,25.772366
2442966,"Sarnespollen 4, Nordkapp",70.985093,25.75297
2442967,"Sarnesøra 8, Nordkapp",70.973325,25.79224
2442969,"Ørntind 12, Nordkapp",70.983169,25.754315
2442970,"Sætervågen 7, Nordkapp",70.975596,25.786051
2443000,"Sarnesøra 17, Nordkapp",70.975677,25.776685
2443003,"Sarnesveien 53, Nordkapp",70.955137,25.703349
2443004,"Sarnesveien 51, Nordkapp",70.955191,25.705492
2443011,"Ørntind 2, Nordkapp",70.981209,25.763273
2443012,"Sarnesøra 14, Nordkapp",70.973713,25.780581
2443107,"Sætervågen 31, Nordkapp",70.972793,25.79848
2443108,"Sarnesveien 7, Nordkapp",70.976988,25.789192
2443110,"Sætervågen 17, Nordkapp",70.974844,25.789699
2443111,"Sætervågen 21, Nordkapp",70.974406,25.791136
2443112,"Sarnesveien 13, Nordkapp",70.978541,25.7869
2443113,"Sætervågen 10, Nordkapp",70.974016,25.793975
2443135,"Sarnesveien 18, Nordkapp",70.976465,25.790028
2443136,"Sarnesveien 30, Nordkapp",70.990711,25.739796
2443137,"Gullgammen 8, Nordkapp",70.943396,25.67785
