,Navn,Long,Lat
24550,"2/1/30, Gamvik",70.946539,27.764446
24551,"1/1/12, Gamvik",71.056417,27.671948
24570,"4/2, Gamvik",71.049896,28.054896
24572,"3/35, Gamvik",71.044064,27.858083
24573,"3/1/128, Gamvik",71.059178,27.958665
24574,"2/1/35, Gamvik",70.946698,27.766339
24575,"2/1/33, Gamvik",70.947555,27.767052
24576,"4/1/25, Gamvik",71.013869,27.916008
24587,"Skjettenfjorden, 4/1/29, Gamvik",71.049749,27.957232
24589,"Skjettenfjorden, 4/1/28, Gamvik",71.055273,27.959655
24590,"Skjettenfjorden, 4/1/27, Gamvik",71.046674,27.955996
24591,"Skjettenfjorden, 4/1/26, Gamvik",71.050366,27.964618
24645,"4/1/15, Gamvik",71.054567,27.98116
24646,"3/1/161, Gamvik",71.035753,27.920773
24647,"3/76, Gamvik",71.022369,27.84392
24648,"3/75, Gamvik",71.026492,27.839837
24650,"4/1/11, Gamvik",71.056496,27.959891
24660,"4/1/18, Gamvik",71.044249,28.045091
24661,"6/1/18, Gamvik",70.926786,27.969541
24666,"4/1/10, Gamvik",71.048655,28.016121
24684,"5/1/102, Gamvik",71.045537,28.066314
24685,"4/1/7, Gamvik",71.046132,28.046787
24686,"4/1/16, Gamvik",71.055893,28.018971
24687,"4/1/9, Gamvik",71.054458,28.015625
24688,"4/1/6, Gamvik",71.056994,28.056289
24689,"4/1/2, Gamvik",71.056931,28.059753
24690,"4/1/5, Gamvik",71.056056,28.058722
24691,"5/1/95, Gamvik",71.046219,28.068044
24693,"5/1/89, Gamvik",71.043988,28.07494
24694,"5/1/82, Gamvik",71.043065,28.06164
24695,"4/1/19, Gamvik",71.049416,28.018126
24696,"4/1/8, Gamvik",71.053833,28.05533
24704,"3/393, Gamvik",71.019139,27.840841
24705,"2/1/23, Gamvik",70.947605,27.769052
24706,"2/7, Gamvik",71.028652,27.831437
24713,"2/14, Gamvik",71.027254,27.834362
24731,"3/39, Gamvik",71.024419,27.835364
24732,"3/1/122, Gamvik",71.018218,27.885926
24733,"3/1/91, Gamvik",71.035932,27.864835
24734,"5/8, Gamvik",71.048499,28.05687
