,Navn,Long,Lat
6818,"Karlebotn, 7/3, Nesseby",70.119851,28.536615
6819,"Nirgovandet, 5/105/1, Nesseby",70.067518,28.519269
6820,"3/1/8, Nesseby",70.028628,28.933942
6821,"Åpenvik, 1/10, Nesseby",70.012585,29.235851
6822,"4/1/38, Nesseby",69.98158,28.554552
6823,"5/1/28, Nesseby",70.054906,28.495768
6824,"5/1/39, Nesseby",70.043581,28.432086
6825,"Diergi, 4/1/33, Nesseby",69.975485,28.556079
6859,"12/1/59, Nesseby",70.209252,28.928574
6860,"12/1/75, Nesseby",70.199169,28.814486
6861,"12/1/76, Nesseby",70.2006,28.812812
6862,"12/1/72, Nesseby",70.20236,28.802002
6863,"12/1/73, Nesseby",70.199083,28.811084
6864,"12/1/71, Nesseby",70.210837,28.800363
6865,"5/1/27, Nesseby",70.05878,28.518405
6867,"5/1/18, Nesseby",70.058813,28.514423
6868,"5/1/17, Nesseby",70.06183,28.520864
6869,"5/1/19, Nesseby",70.061069,28.517347
6870,"4/1/15, Nesseby",70.077459,28.618155
6871,"4/1/20, Nesseby",70.078549,28.622463
6872,"12/1/41, Nesseby",70.210375,28.790686
6873,"12/1/31, Nesseby",70.209406,28.80218
6874,"6/1/2, Nesseby",70.054658,28.488736
6875,"6/1/7, Nesseby",70.054958,28.486341
6876,"5/1/9, Nesseby",70.055758,28.496899
6877,"5/1/8, Nesseby",70.053741,28.491842
6878,"5/1/24, Nesseby",70.056865,28.500725
6879,"5/1/21, Nesseby",70.055684,28.499792
6880,"5/1/23, Nesseby",70.056945,28.509862
6881,"5/1/25, Nesseby",70.057409,28.504026
6882,"4/1/11, Nesseby",70.088876,28.641089
6883,"4/1/12, Nesseby",70.086447,28.637377
6884,"12/1/25, Nesseby",70.205417,28.724629
6885,"4/1/16, Nesseby",70.07911,28.630793
6886,"5/1/40, Nesseby",70.01012,28.536052
6887,"6/1/4, Nesseby",70.075106,28.435757
6888,"2/1/18, Nesseby",70.025645,29.145191
6889,"2/1/12, Nesseby",70.023921,29.132599
6890,"2/1/16, Nesseby",70.02585,29.148574
6891,"2/1/21, Nesseby",70.026465,29.152981
6892,"2/1/14, Nesseby",70.025496,29.138819
6893,"2/1/19, Nesseby",70.025908,29.14
6894,"2/1/3, Nesseby",70.024304,29.138762
6895,"2/1/20, Nesseby",70.024509,29.139811
6896,"2/1/7, Nesseby",70.024369,29.1342
6897,"8/1/9, Nesseby",70.132944,28.66999
6898,"10/1/10, Nesseby",70.176311,28.408473
6899,"10/1/9, Nesseby",70.176114,28.41112
6900,"8/1/6, Nesseby",70.137602,28.681292
6901,"6/30, Nesseby",70.126879,28.458893
6902,"10/1/5, Nesseby",70.1797,28.381977
6903,"6/28, Nesseby",70.124468,28.480962
6904,"6/25, Nesseby",70.128092,28.464372
6905,"2/6, Nesseby",70.059495,29.091019
6906,"6/1/1, Nesseby",70.126488,28.490181
6907,"12/1/21, Nesseby",70.330117,29.132606
6908,"12/1/78, Nesseby",70.330976,29.136468
6909,"6/21, Nesseby",70.124915,28.429706
6910,"6/33, Nesseby",70.126536,28.455479
6911,"6/22, Nesseby",70.124555,28.424158
6912,"10/1/8, Nesseby",70.176862,28.412312
6913,"Vesterelv, 7/27, Nesseby",70.116461,28.511733
6914,"10/1/21, Nesseby",70.170866,28.399956
6915,"1/1/1, Nesseby",70.003208,29.247922
6916,"1/1/2, Nesseby",70.017443,29.309648
6917,"1/1/8, Nesseby",70.004921,29.278129
6918,"12/1/23, Nesseby",70.212242,28.935937
6919,"12/1/35, Nesseby",70.25115,29.002826
6920,"12/1/26, Nesseby",70.204499,28.924531
6921,"13/1/4, Nesseby",70.154418,28.949646
6922,"12/1/38, Nesseby",70.2117,28.795828
6923,"12/1/39, Nesseby",70.20837,28.805208
6924,"12/1/11, Nesseby",70.244225,29.028705
6925,"12/1/24, Nesseby",70.212384,28.823653
6926,"12/1/34, Nesseby",70.196944,28.855591
6927,"12/1/20, Nesseby",70.222891,28.880976
6928,"12/1/15, Nesseby",70.278132,29.094162
6929,"12/1/17, Nesseby",70.230177,28.973813
6930,"10/1/6, Nesseby",70.176922,28.391629
6931,"10/1/7, Nesseby",70.175828,28.389287
6932,"11/1/6, Nesseby",70.1794,28.390493
6933,"11/1/5, Nesseby",70.177981,28.3945
6934,"12/1/40, Nesseby",70.206397,28.804306
6935,"11/1/2, Nesseby",70.181659,28.400195
6936,"13/1/5, Nesseby",70.201875,28.998325
6937,"12/1/37, Nesseby",70.212385,28.785766
6938,"10/1/4, Nesseby",70.178078,28.389346
6939,"6/20, Nesseby",70.13064,28.471304
6940,"12/1/55, Nesseby",70.210192,28.926452
6941,"9/4, Nesseby",70.141202,28.692986
6942,"12/1/18, Nesseby",70.297002,29.126905
6943,"11/1/7, Nesseby",70.180847,28.388887
6944,"11/1/4, Nesseby",70.181245,28.409586
6945,"12/1/52, Nesseby",70.209356,28.936298
6946,"12/1/53, Nesseby",70.206721,28.923935
6947,"12/1/57, Nesseby",70.204572,28.926672
6948,"12/1/54, Nesseby",70.207267,28.92208
6949,"6/1/5, Nesseby",70.059061,28.479325
6950,"12/1/16, Nesseby",70.242905,28.982551
6951,"12/1/43, Nesseby",70.210474,28.803251
6952,"2/1/10, Nesseby",70.024674,29.132444
6953,"12/1/48, Nesseby",70.212862,28.938368
6954,"5/1/22, Nesseby",70.056354,28.505556
6955,"5/1/16, Nesseby",70.060226,28.515114
6956,"12/1/27, Nesseby",70.195242,28.84309
6957,"12/1/49, Nesseby",70.21086,28.932665
6958,"12/1/46, Nesseby",70.208398,28.799309
6959,"2/1/6, Nesseby",70.023829,29.137973
6960,"12/1/50, Nesseby",70.211068,28.935574
6961,"14/87, Nesseby",70.135814,29.11011
6962,"6/1/6, Nesseby",70.056798,28.481055
6963,"14/1/13, Nesseby",70.157027,29.12241
6964,"12/1/45, Nesseby",70.205219,28.801385
6965,"12/1/42, Nesseby",70.207231,28.798001
6966,"6/1/3, Nesseby",70.081849,28.452665
6967,"12/1/63, Nesseby",70.200649,28.816011
6968,"10/1/17, Nesseby",70.172218,28.412139
6969,"1/1/18, Nesseby",70.006663,29.284979
6970,"12/1/61, Nesseby",70.200336,28.80943
6971,"10/1/29, Nesseby",70.170973,28.387648
6972,"14/96, Nesseby",70.137877,29.107559
6973,"4/63, Nesseby",70.0888,28.821874
6974,"14/1/3, Nesseby",70.24126,29.041061
6975,"13/1/7, Nesseby",70.208904,28.958865
6976,"1/1/3, Nesseby",70.009846,29.282043
6977,"Rådhuset, 10/25, Nesseby",70.163736,28.5712
6978,"Vesterelv, 7/2, Nesseby",70.117511,28.506412
6979,"9/3, Nesseby",70.141629,28.691186
6980,"14/72, Nesseby",70.150308,29.112233
6981,"12/177, Nesseby",70.160716,28.829826
6982,"14/99, Nesseby",70.137411,29.104437
6983,"14/95, Nesseby",70.137571,29.110352
6984,"14/1/4, Nesseby",70.13577,29.108713
6985,"14/1/9, Nesseby",70.136155,29.108609
6986,"12/1/9, Nesseby",70.154723,28.891205
6987,"6/37, Nesseby",70.129877,28.501894
6988,"6/38, Nesseby",70.130116,28.501097
6989,"10/1/15, Nesseby",70.176278,28.396985
6990,"10/1/3, Nesseby",70.176335,28.397854
6991,"5/1/20, Nesseby",70.061513,28.519417
6992,"12/258, Nesseby",70.15333,28.860535
6993,"14/1/12, Nesseby",70.15967,29.096082
6994,"Nesseby, 12/254, Nesseby",70.153054,28.861857
6995,"Nesseby, 12/256, Nesseby",70.153161,28.861249
6996,"Caskajæggi, 13/1/11, Nesseby",70.184602,29.067596
6997,"14/84/1, Nesseby",70.130797,29.101506
6998,"4/1-4, Nesseby",70.025212,28.632451
6999,"4/1-11, Nesseby",69.95999,28.547349
7000,"4/1-7, Nesseby",70.068149,28.517775
7001,"4/1-8, Nesseby",70.067786,28.519326
7002,"4/1-5, Nesseby",70.021384,28.7677
7003,"4/1/27, Nesseby",69.978602,28.55454
7004,"4/1/13, Nesseby",69.977309,28.553632
7005,"4/1/22, Nesseby",69.98304,28.550628
7006,"4/1/14, Nesseby",69.980978,28.574064
7007,"5/1/12, Nesseby",69.910595,28.38433
7008,"4/1/36, Nesseby",69.984987,28.536108
7009,"12/1/51, Nesseby",70.2057,28.925158
7010,"12/1/13, Nesseby",70.214966,28.934387
7011,"13/1/2, Nesseby",70.151225,28.962772
7012,"12/1/33, Nesseby",70.221554,28.906654
7013,"5/1/10, Nesseby",69.976881,28.540957
7014,"5/1/34, Nesseby",69.963347,28.538782
7015,"4/1/23, Nesseby",69.959099,28.546656
7016,"4/1/26, Nesseby",69.951488,28.539897
7017,"6/1/12, Nesseby",70.061773,28.482492
7018,"5/1/42, Nesseby",70.053289,28.493754
7019,"6/1/14, Nesseby",70.052423,28.487019
7020,"6/1/13, Nesseby",70.053242,28.487013
7021,"5/1/48, Nesseby",70.061543,28.52244
7023,"5/1/47, Nesseby",70.058205,28.512109
7024,"12/1/84, Nesseby",70.206176,28.748422
7025,"12/1/81, Nesseby",70.20234,28.765033
7026,"5/1/46, Nesseby",70.05803,28.509469
7027,"5/1/45, Nesseby",70.058703,28.506348
7028,"5/1/43, Nesseby",70.055297,28.502232
7029,"6/1/11, Nesseby",70.062709,28.48369
7030,"12/1/95, Nesseby",70.205703,28.905824
7031,"12/1/96, Nesseby",70.206012,28.911217
7032,"12/1/93, Nesseby",70.204389,28.910091
7033,"12/1/94, Nesseby",70.205068,28.907045
7034,"12/1/90, Nesseby",70.202263,28.907488
7035,"12/1/92, Nesseby",70.204323,28.905702
7036,"12/1/86, Nesseby",70.200281,28.907159
7037,"12/1/100, Nesseby",70.20349,28.918428
7038,"12/1/28, Nesseby",70.210108,28.934018
7039,"12/1/47, Nesseby",70.209613,28.931773
7040,"12/1/1, Nesseby",70.239332,29.002663
7041,"12/1/58, Nesseby",70.210257,28.928806
7042,"12/1/98, Nesseby",70.206262,28.921319
7043,"12/1/99, Nesseby",70.204927,28.921883
7044,"12/1/82, Nesseby",70.202825,28.760345
7045,"12/1/97, Nesseby",70.205219,28.916988
7046,"12/1/111, Nesseby",70.210375,28.786424
7047,"12/1/87, Nesseby",70.200751,28.911968
7048,"10/1/16, Nesseby",70.172911,28.415419
7049,"12/1/91, Nesseby",70.204428,28.914164
7050,"12/1/88, Nesseby",70.201527,28.906304
7051,"11/1/20, Nesseby",70.222622,28.685071
7052,"12/1/103, Nesseby",70.206046,28.76178
7053,"6/1/8, Nesseby",70.071043,28.515522
7054,"12/1/107, Nesseby",70.206454,28.766502
7055,"2/1/5, Nesseby",70.024715,29.140572
7056,"10/1/28, Nesseby",70.169426,28.384028
7057,"12/1/114, Nesseby",70.205402,28.793024
7058,"12/1/113, Nesseby",70.205277,28.796104
7059,"Gåsungen, 7/30, Nesseby",70.127014,28.499494
7060,"2/1/11, Nesseby",70.02519,29.142151
7061,"2/1, Nesseby",70.025329,29.131398
7062,"12/1/85-1, Nesseby",70.206355,28.753603
7063,"12/1/89-1, Nesseby",70.203036,28.910101
7064,"12/1/80-1, Nesseby",70.202231,28.769662
7065,"12/1/83-1, Nesseby",70.203971,28.753558
7066,"5/1, Nesseby",70.025609,28.464931
7067,"5/1-1, Nesseby",70.046852,28.542249
7068,"6/18, Nesseby",70.124794,28.449311
7069,"6/18-1, Nesseby",70.124196,28.447537
7070,"6/1-5, Nesseby",70.051682,28.316589
7071,"6/1, Nesseby",70.136993,28.398339
7072,"6/1-1, Nesseby",70.12496,28.427149
7073,"10/1, Nesseby",70.163648,28.442497
7074,"11/1-1, Nesseby",70.224973,28.540789
7075,"Vesterelv, 7/21, Nesseby",70.127557,28.499532
7076,"Vesterelv, 7/21-1, Nesseby",70.128058,28.502101
7077,"Vesterelv, 7/19, Nesseby",70.126654,28.494814
7078,"12/1/30, Nesseby",70.211927,28.791513
7079,"14/1, Nesseby",70.172534,29.122196
7080,"12/172/1, Nesseby",70.144129,28.882218
7081,"12/172/1-1, Nesseby",70.143931,28.881639
28931,"Soltunveien, 10/145-2, Nesseby",70.163034,28.57241
28932,"Soltunveien, 10/145-1, Nesseby",70.163074,28.572328
33334,"10/148, Nesseby",70.162365,28.576544
34915,"11/1/23, Nesseby",70.227909,28.54137
35221,"12/369, Nesseby",70.14293,28.882232
35437,"3/1/9, Nesseby",70.00198,28.990411
35600,"1/20, Nesseby",70.012244,29.260118
35899,"4/1/40, Nesseby",69.965367,28.547843
37390,"12/1/118, Nesseby",70.330925,29.135566
38107,"6/1/15, Nesseby",70.072437,28.521661
38805,"14/103, Nesseby",70.204097,29.187601
40163,"4/1/43, Nesseby",70.029476,28.78905
51058,"Vesterelv, 7/19-1, Nesseby",70.12706,28.495461
587259,"Suovka 69, Nesseby",70.184918,28.584892
589862,"Várjjatgeaidnu 1376, Nesseby",70.149019,28.887558
589863,"Várjjatgeaidnu 878, Nesseby",70.170434,28.779606
589864,"Várjjatgeaidnu 694, Nesseby",70.175264,28.730446
589865,"Várjjatgeaidnu 684, Nesseby",70.17594,28.727213
589866,"Várjjatgeaidnu 788, Nesseby",70.175464,28.75754
589867,"Várjjatgeaidnu 964, Nesseby",70.163829,28.792311
589868,"Várjjatgeaidnu 958, Nesseby",70.16397,28.790277
589869,"Várjjatgeaidnu 885, Nesseby",70.167732,28.77659
589870,"Várjjatgeaidnu 738, Nesseby",70.173931,28.741902
589871,"Várjjatgeaidnu 670, Nesseby",70.17623,28.724145
589872,"Várjjatgeaidnu 824, Nesseby",70.171872,28.764853
589873,"Várjjatgeaidnu 716, Nesseby",70.176509,28.73975
589874,"Várjjatgeaidnu 882, Nesseby",70.170849,28.775376
589875,"Várjjatgeaidnu 816, Nesseby",70.173548,28.764777
589876,"Várjjatgeaidnu 1016, Nesseby",70.162627,28.803596
589877,"Várjjatgeaidnu 592, Nesseby",70.176713,28.704778
589878,"Várjjatgeaidnu 1311, Nesseby",70.149776,28.872965
589879,"Várjjatgeaidnu 562, Nesseby",70.177057,28.697667
589880,"Várjjatgeaidnu 668, Nesseby",70.177056,28.720302
589881,"Várjjatgeaidnu 540, Nesseby",70.177434,28.688707
589882,"Várjjatgeaidnu 860, Nesseby",70.169749,28.771114
589883,"Várjjatgeaidnu 822, Nesseby",70.170874,28.7636
589884,"Várjjatgeaidnu 942, Nesseby",70.164951,28.787017
589885,"Várjjatgeaidnu 858, Nesseby",70.170115,28.770475
589886,"Várjjatgeaidnu 710, Nesseby",70.174932,28.734862
589887,"Várjjatgeaidnu 662, Nesseby",70.176136,28.721955
589888,"Várjjatgeaidnu 1315, Nesseby",70.148834,28.872736
589889,"Várjjatgeaidnu 774, Nesseby",70.173838,28.750248
589890,"Várjjatgeaidnu 1319, Nesseby",70.148566,28.873503
589891,"Várjjatgeaidnu 1071, Nesseby",70.159392,28.817886
589892,"Kirkegårdsveien 67, Nesseby",70.158739,28.839062
589893,"Várjjatgeaidnu 1106, Nesseby",70.15919,28.828101
589894,"Várjjatgeaidnu 1055, Nesseby",70.160121,28.813154
