,Navn,Long,Lat
1470967,"Polmakveien 305, TANA",70.140733,28.201046
1820352,"Polmakveien 1532, TANA",70.06841,28.017801
2010390,"Buolbmátjárgeaidnu 493, TANA",70.025044,28.005077
2028113,"Polmakveien 1578, TANA",70.070597,28.007354
2110800,"Polmakveien 1511, TANA",70.069057,28.024937
2174735,"Fielbmágeaidnu 18, TANA",70.070369,28.000904
2174737,"Polmakveien 1499, TANA",70.068722,28.027371
2174740,"Vuopmi 3913, TANA",70.017689,28.152156
2175280,"Polmakveien 1019, TANA",70.088764,28.112995
2175287,"Alleknjarg/Álletnárga/Allikkaniemi, Polmakveien 1076, TANA",70.082585,28.105781
2175289,"Polmakveien 838, TANA",70.098275,28.147587
2175291,"Polmakveien 1015, TANA",70.088087,28.1105
2175293,"Polmakveien 1216, TANA",70.071382,28.086267
2175294,"Polmakveien 1091, TANA",70.082674,28.097336
2175301,"Polmakveien 1011, TANA",70.087531,28.113787
2175303,"Polmakveien 1073, TANA",70.083332,28.103922
2175305,"Polmakveien 1190, TANA",70.07167,28.096477
2175713,"Vuopmi 3900, TANA",70.040554,28.284422
2175715,"Polmakveien 177, TANA",70.152163,28.203594
2175794,"Polmak, Fielbmágeaidnu 16, TANA",70.070537,28.000538
2175798,"Polmakveien 1157, TANA",70.07735,28.087618
2175800,"Suolugáddi, Polmakveien 1189, TANA",70.074733,28.084349
2175802,"Polmakveien 1285, TANA",70.068345,28.075188
2175803,"Polmakveien 1543, TANA",70.069103,28.015959
2175805,"Polmakveien 977, TANA",70.089483,28.120222
2175806,"Alleknjarg, Polmakveien 1006, TANA",70.08721,28.115853
2175807,"Polmakveien 1117, TANA",70.080228,28.094268
2175820,"Polmakveien 1644, TANA",70.075107,27.995512
2175843,"Polmakveien 283, TANA",70.142688,28.201677
2175852,"Polmakveien 1698, TANA",70.078457,27.986114
2175854,"Polmakveien 1768, TANA",70.083264,27.974481
2175856,"Polmakveien 1398, TANA",70.065006,28.051831
2175858,"Polmakveien 1796, TANA",70.085043,27.969102
2175860,"Polmakveien 1542, TANA",70.068645,28.015655
2175862,"Polmakveien 1448, TANA",70.066079,28.040192
2175864,"Polmakveien 1538, TANA",70.068507,28.016555
2175867,"Buolbmátjárgeaidnu 501, TANA",70.025426,28.003807
2175869,"Polmakveien 1609, TANA",70.072757,28.002991
2175871,"Polmak, Polmakveien 1736, TANA",70.081088,27.979353
2175873,"Polmakveien 1554, TANA",70.069241,28.01326
2175875,"Polmakveien 1508, TANA",70.064982,28.021014
2175876,"Vuopmi 3911, TANA",69.939624,28.194143
2175877,"Polmakveien 1744, TANA",70.081597,27.97746
2175878,"Polmakveien 1710, TANA",70.07945,27.984249
2175879,"Vuopmi 3902, TANA",70.008026,28.204093
2175880,"Polmakveien 1597, TANA",70.072521,28.005526
2175882,"Buolbmát, Buolbmátjárgeaidnu 18, TANA",70.064966,28.046447
2175883,"Polmakveien 1536, TANA",70.067292,28.01588
2175885,"Polmakveien 1462, TANA",70.065976,28.034785
2175887,"Polmakveien 1772, TANA",70.082801,27.973505
2175888,"Polmakveien 1577, TANA",70.070778,28.009372
2175890,"Polmakveien 1530, TANA",70.068243,28.018986
2175891,"Buolbmátjárgeaidnu 491, TANA",70.027011,28.003767
2175892,"Buolbmátjárgeaidnu 19, TANA",70.064692,28.042257
2175894,"Polmakveien 1447, TANA",70.067136,28.040141
2175896,"Polmakveien 1558, TANA",70.069368,28.012097
2175897,"Polmakveien 1557, TANA",70.069871,28.013701
2175899,"Polmakveien 1533, TANA",70.068929,28.018321
2175901,"Polmakveien 1615, TANA",70.073193,28.001632
2175903,"Polmakveien 1415, TANA",70.067022,28.048554
2175906,"Polmakveien 1576, TANA",70.070303,28.007977
2175907,"Polmakveien 1481, TANA",70.067866,28.031381
2175908,"Vuopmi 3908, TANA",70.080646,28.24524
2175909,"Polmakveien 1115, TANA",70.079749,28.09521
2175911,"Polmakveien 1039, TANA",70.085656,28.108481
2175912,"Polmakveien 1175, TANA",70.075128,28.089378
2175913,"Buolbmátjárgeaidnu 462, TANA",70.025276,28.025476
2175914,"Polmakveien 1582, TANA",70.070489,28.003927
2175915,"Polmakveien 1581, TANA",70.070922,28.007999
2175917,"Vuopmi 3910, TANA",70.017951,28.234996
2175919,"Vuopmi 3909, TANA",70.01539,28.278975
2175921,"Polmakveien 967, TANA",70.091361,28.121058
2175922,"Polmakveien 1347, TANA",70.065016,28.064888
2175923,"Alleknjarg/Álletnjárga/Allikkaniemi, Polmakveien 1085, TANA",70.08309,28.099605
2175925,"Polmakveien 294, TANA",70.141532,28.203149
2175927,"Polmakveien 1041, TANA",70.085375,28.107836
2175928,"Polmakveien 1072, TANA",70.082652,28.106593
2175930,"Polmakveien 1070, TANA",70.083066,28.107047
2175931,"Polmakveien 1125, TANA",70.078836,28.097119
2175969,"Polmakveien 1054, TANA",70.083448,28.118179
2175973,"Vuohppejohka 44, TANA",70.061622,28.072116
2175974,"Vuohppejohka 42, TANA",70.061855,28.073707
2175975,"Vuohppejohka 63, TANA",70.061144,28.066622
2175976,"Polmakveien 1013, TANA",70.087456,28.111529
2175994,"Polmakveien 132, TANA",70.155693,28.210245
2175996,"Polmakveien 160, TANA",70.150867,28.215217
2176049,"Polmakveien 1478, TANA",70.065523,28.030892
2176091,"Polmakveien 965, TANA",70.091557,28.119234
2176094,"Polmakveien 1548, TANA",70.069113,28.014501
2176098,"Polmakveien 1587, TANA",70.071391,28.006976
2176111,"Vuopmi 3780, TANA",70.143418,28.2841
2176114,"Vuopmi 3822, TANA",70.05692,28.135128
2176154,"Vuohppejohka 30, TANA",70.062424,28.077805
2176168,"Vuopmi 3912, TANA",70.08403,28.257587
2176176,"Fielbmágeaidnu 26, TANA",70.069857,28.002271
2176177,"Fielbmágeaidnu 20, TANA",70.07013,28.001363
2176198,"Polmakveien 1506, TANA",70.064719,28.021973
2176204,"Polmakveien 1159, TANA",70.077239,28.085336
2176230,"Alleknjarg, Gáddegeaidnu 22, TANA",70.087323,28.10617
2176247,"Polmakveien 1177, TANA",70.075295,28.088765
2176248,"Alleknjarg/Álletnárga/Allikkaniemi, Polmakveien 1089, TANA",70.082833,28.098512
2176266,"Polmakveien 1599, TANA",70.07243,28.005216
2176278,"Polmakveien 1129, TANA",70.079107,28.092796
2176281,"Polmakveien 1127, TANA",70.079547,28.092695
2176284,"Vuopmi 3907, TANA",70.05827,28.287905
2176285,"Vuopmi 3905, TANA",70.002679,28.17906
2176286,"Vuopmi 3904, TANA",69.995935,28.226829
2176295,"Vuopmi 3700, TANA",70.155135,28.318233
2176336,"Vuopmi 3901, TANA",70.013598,28.260931
2176338,"Polmakveien 1052, TANA",70.084789,28.112435
2176339,"Polmakveien 1050, TANA",70.084396,28.110984
2176341,"Polmakveien 1075, TANA",70.085431,28.102644
2176396,"Polmakveien 1570, TANA",70.070006,28.009175
2176415,"Polmakveien 1017, TANA",70.088123,28.110578
2176417,"Polmakveien 1745, TANA",70.082627,27.98185
2176419,"Polmakveien 1721, TANA",70.081204,27.983606
2176436,"Polmakveien 1550, TANA",70.06884,28.013727
2176439,"Polmakveien 1580, TANA",70.070669,28.006457
2176440,"Polmakveien 1559, TANA",70.069896,28.013516
2176473,"Polmakveien 1509, TANA",70.068921,28.024654
2176505,"Polmakveien 961, TANA",70.091066,28.121255
2176509,"Polmakveien 1131, TANA",70.079788,28.0925
2176520,"Polmakveien 1276, TANA",70.065669,28.080963
2176568,"Polmakveien 1119, TANA",70.08058,28.094698
2176570,"Polmakveien 828, TANA",70.098924,28.149172
2176572,"Polmakveien 844, TANA",70.097667,28.146246
2176576,"Polmakveien 1801, TANA",70.086493,27.973234
2176583,"Polmakveien 854, TANA",70.096872,28.145096
2176585,"Polmakveien 852, TANA",70.096945,28.145356
2176587,"Polmakveien 1012, TANA",70.087183,28.120066
2179155,"Polmakveien 281, TANA",70.142735,28.202088
2179261,"Fielbmágeaidnu 11, TANA",70.072263,27.996787
2179266,"Fielbmágeaidnu 8, TANA",70.070898,28.002402
2179267,"Fielbmágeaidnu 7, TANA",70.071482,28.001395
2179268,"Polmak, Fielbmágeaidnu 22, TANA",70.070295,27.999591
2179298,"Polmakveien 1743, TANA",70.081931,27.981532
2179673,"Gáddegeaidnu 4, TANA",70.086027,28.109095
2179679,"Gáddegeaidnu 19, TANA",70.087283,28.107565
2179681,"Gáddegeaidnu 10, TANA",70.08647,28.10826
2179683,"Alleknjarg, Gáddegeaidnu 20, TANA",70.087036,28.106184
2179757,"Vuopmi 3914, TANA",70.036029,28.294269
2179787,"Polmakveien 1591, TANA",70.071521,28.006524
2179927,"Vuopmi 3906, TANA",70.01828,28.281269
2179930,"Vuopmi 3903, TANA",69.920909,28.344299
2184827,"Polmakveien 1520, TANA",70.068004,28.021021
2184828,"Polmakveien 1522, TANA",70.067909,28.021762
