,Navn,Long,Lat
13600,"10/1/20, Sør-Varanger",69.809943,30.048384
13601,"10/1/4, Sør-Varanger",69.80662,30.025853
13999,"25/2, Sør-Varanger",69.699964,29.943925
14025,"25/6/2, Sør-Varanger",69.699671,29.930668
14026,"25/6/8, Sør-Varanger",69.699192,29.931552
14027,"25/6/9, Sør-Varanger",69.699476,29.926761
14028,"25/105/15, Sør-Varanger",69.695243,29.948554
14029,"25/105/16, Sør-Varanger",69.694787,29.94296
14030,"25/6/3, Sør-Varanger",69.69959,29.928934
14032,"25/105/14, Sør-Varanger",69.695618,29.95066
14046,"13/1/53, Sør-Varanger",69.612541,29.748475
14051,"12/1/1, Sør-Varanger",69.617023,29.762785
14098,"25/4, Sør-Varanger",69.707094,29.960934
14099,"10/6, Sør-Varanger",69.77733,29.829609
14108,"10/4, Sør-Varanger",69.769717,29.860787
14126,"11/58, Sør-Varanger",69.771447,30.042197
14145,"12/1-2, Sør-Varanger",69.617008,29.761254
14146,"11/1-3, Sør-Varanger",69.773026,30.040549
14147,"11/1-2, Sør-Varanger",69.772427,30.042319
14157,"12/1/145, Sør-Varanger",69.615687,29.757478
14181,"25/172/11-1, Sør-Varanger",69.701945,29.949224
14203,"18/1/26, Sør-Varanger",69.616035,29.76319
14204,"18/1-6, Sør-Varanger",69.615185,29.760686
14206,"25/172/16, Sør-Varanger",69.700382,29.946266
14207,"25/172/12, Sør-Varanger",69.702829,29.944536
14209,"25/105/3, Sør-Varanger",69.700256,29.941071
14210,"25/105/2, Sør-Varanger",69.700017,29.933341
14211,"25/105/9, Sør-Varanger",69.694829,29.94531
14212,"25/105/8, Sør-Varanger",69.695777,29.947493
14213,"25/105/7, Sør-Varanger",69.702199,29.949922
14214,"25/105/5, Sør-Varanger",69.698066,29.923553
14215,"25/105/11, Sør-Varanger",69.69723,29.922228
14216,"25/105/10, Sør-Varanger",69.695222,29.95619
14217,"25/172/6, Sør-Varanger",69.700921,29.947812
14218,"25/172/4, Sør-Varanger",69.700644,29.945838
14220,"25/172/11, Sør-Varanger",69.701938,29.949221
14221,"25/172/10, Sør-Varanger",69.701918,29.947364
14222,"25/172/9, Sør-Varanger",69.703584,29.949577
14223,"25/172/8, Sør-Varanger",69.702518,29.94225
14249,"25/178, Sør-Varanger",69.698609,29.927965
14250,"25/180, Sør-Varanger",69.699132,29.925559
14251,"25/185, Sør-Varanger",69.703464,29.951896
14252,"25/182, Sør-Varanger",69.700339,29.939254
14253,"25/176, Sør-Varanger",69.703766,29.950747
14297,"23/2-3, Sør-Varanger",69.679929,30.005304
