,Navn,Long,Lat
13971,"1/1/29, Sør-Varanger",69.741914,28.931018
13972,"1/1/31, Sør-Varanger",69.764304,28.77524
13973,"1/1/28, Sør-Varanger",69.865655,29.015427
13981,"9/20, Sør-Varanger",69.805546,29.725453
13982,"9/1/32, Sør-Varanger",69.797461,29.710698
13983,"9/1/31, Sør-Varanger",69.899857,29.686994
13984,"Kjøfjord, 9/1/29, Sør-Varanger",69.810346,29.73469
13985,"8/4, Sør-Varanger",69.676523,29.512233
13986,"8/15, Sør-Varanger",69.704942,29.215974
13987,"7/3, Sør-Varanger",69.697468,29.391874
13988,"6/1/36, Sør-Varanger",69.729821,29.430696
13991,"3/20, Sør-Varanger",69.875529,29.357387
14007,"Sakrisvatn, 6/1/41, Sør-Varanger",69.789646,29.360764
14037,"7/1/3, Sør-Varanger",69.703169,29.371721
14041,"9/30, Sør-Varanger",69.755376,29.606434
14045,"6/1/10, Sør-Varanger",69.7329,29.488119
14047,"1/1/5, Sør-Varanger",69.877915,28.796874
14048,"1/1/14, Sør-Varanger",69.879082,28.711409
14049,"9/1/5, Sør-Varanger",69.903095,29.738394
14050,"9/1/43, Sør-Varanger",69.734239,29.607725
14052,"1/1/15, Sør-Varanger",69.877113,28.777097
14053,"9/1/1, Sør-Varanger",69.820566,29.699186
14054,"9/1/4, Sør-Varanger",69.772632,29.519795
14055,"9/1/6, Sør-Varanger",69.913914,29.608718
14056,"9/1/11, Sør-Varanger",69.913557,29.608632
14057,"1/1/25, Sør-Varanger",69.864038,29.020045
14062,"1/1/23, Sør-Varanger",69.911029,28.865669
14066,"2/1/26, Sør-Varanger",69.776358,29.014297
14067,"1/1/26, Sør-Varanger",69.759089,28.853624
14068,"2/1/6, Sør-Varanger",69.85068,29.051487
14069,"1/1/4, Sør-Varanger",69.843718,28.855652
14070,"2/1/29, Sør-Varanger",69.767751,29.161679
14071,"2/1/16, Sør-Varanger",69.767144,29.131145
14072,"2/1/17, Sør-Varanger",69.759909,29.107088
14073,"2/1/33, Sør-Varanger",69.821368,29.20411
14074,"2/1/10, Sør-Varanger",69.868133,29.28001
14075,"2/1/5, Sør-Varanger",69.772984,29.221204
